datetime,date,hour,avgtempC,maxtempC,mintempC,sunHour,uvIndex,humidity,winddirDegree,windspeedKmph,cloudcover,precipMM,pressure,latitude,longitude
2022-04-01 00:00:00,2022-04-01,00:00,4,8,1,2.0,1,80,313,15,85,0.0,1022,53.333,-6.249
2022-04-01 01:00:00,2022-04-01,01:00,4,8,1,2.0,1,81,312,15,82,0.0,1022,53.333,-6.249
2022-04-01 02:00:00,2022-04-01,02:00,4,8,1,2.0,1,83,312,14,79,0.0,1022,53.333,-6.249
2022-04-01 03:00:00,2022-04-01,03:00,4,8,1,2.0,1,84,311,13,76,0.0,1022,53.333,-6.249
2022-04-01 04:00:00,2022-04-01,04:00,4,8,1,2.0,1,83,318,13,74,0.0,1023,53.333,-6.249
2022-04-01 05:00:00,2022-04-01,05:00,4,8,1,2.0,1,82,324,13,72,0.0,1023,53.333,-6.249
2022-04-01 06:00:00,2022-04-01,06:00,4,8,1,2.0,1,81,331,13,70,0.0,1023,53.333,-6.249
2022-04-01 07:00:00,2022-04-01,07:00,4,8,1,2.0,1,76,222,15,76,0.0,1024,53.333,-6.249
2022-04-01 08:00:00,2022-04-01,08:00,4,8,1,2.0,1,70,113,17,83,0.0,1024,53.333,-6.249
2022-04-01 09:00:00,2022-04-01,09:00,4,8,1,2.0,1,64,5,19,89,0.0,1024,53.333,-6.249
2022-04-01 10:00:00,2022-04-01,10:00,4,8,1,2.0,1,60,9,20,86,0.0,1025,53.333,-6.249
2022-04-01 11:00:00,2022-04-01,11:00,4,8,1,2.0,1,56,14,20,82,0.0,1025,53.333,-6.249
2022-04-01 12:00:00,2022-04-01,12:00,4,8,1,2.0,1,52,19,21,79,0.0,1025,53.333,-6.249
2022-04-01 13:00:00,2022-04-01,13:00,4,8,1,2.0,1,51,20,20,55,0.0,1025,53.333,-6.249
2022-04-01 14:00:00,2022-04-01,14:00,4,8,1,2.0,1,50,21,19,31,0.0,1025,53.333,-6.249
2022-04-01 15:00:00,2022-04-01,15:00,4,8,1,2.0,1,50,23,18,85,0.4,1025,53.333,-6.249
2022-04-01 16:00:00,2022-04-01,16:00,4,8,1,2.0,1,52,20,16,87,0.4,1025,53.333,-6.249
2022-04-01 17:00:00,2022-04-01,17:00,4,8,1,2.0,1,54,18,13,88,0.3,1025,53.333,-6.249
2022-04-01 18:00:00,2022-04-01,18:00,4,8,1,2.0,1,57,16,10,82,0.1,1025,53.333,-6.249
2022-04-01 19:00:00,2022-04-01,19:00,4,8,1,2.0,1,59,123,13,79,0.6,1026,53.333,-6.249
2022-04-01 20:00:00,2022-04-01,20:00,4,8,1,2.0,1,60,230,12,88,0.1,1026,53.333,-6.249
2022-04-01 21:00:00,2022-04-01,21:00,4,8,1,2.0,1,62,337,12,70,0.1,1027,53.333,-6.249
2022-04-01 22:00:00,2022-04-01,22:00,4,8,1,2.0,1,72,328,12,81,0.1,1026,53.333,-6.249
2022-04-01 23:00:00,2022-04-01,23:00,4,8,1,2.0,1,82,320,17,71,0.1,1025,53.333,-6.249
2022-04-02 00:00:00,2022-04-02,00:00,5,7,3,7.0,1,92,312,22,100,0.0,1024,53.333,-6.249
2022-04-02 01:00:00,2022-04-02,01:00,5,7,3,7.0,1,91,313,22,100,0.0,1024,53.333,-6.249
2022-04-02 02:00:00,2022-04-02,02:00,5,7,3,7.0,1,90,314,21,100,0.0,1024,53.333,-6.249
2022-04-02 03:00:00,2022-04-02,03:00,5,7,3,7.0,1,90,315,21,100,0.0,1024,53.333,-6.249
2022-04-02 04:00:00,2022-04-02,04:00,5,7,3,7.0,1,92,315,19,100,0.0,1024,53.333,-6.249
