datetime,pm10,pm2_5,serial_number
2022-03-03 12:00:00,21.02,4.07,0110-000157-000000
2022-03-03 13:00:00,14.25,3.41,0110-000157-000000
2022-03-26 22:00:00,79.11,66.95,0110-000157-000000
2022-03-26 23:00:00,75.44,66.81,0110-000157-000000
2022-03-27 00:00:00,62.5,53.42,0110-000157-000000
2022-03-27 02:00:00,65.28,46.77,0110-000157-000000
2022-03-27 03:00:00,61.78,52.61,0110-000157-000000
2022-03-27 04:00:00,61.32,48.5,0110-000157-000000
2022-03-27 05:00:00,49.48,41.02,0110-000157-000000
2022-03-27 06:00:00,46.65,38.01,0110-000157-000000
2022-03-27 07:00:00,37.6,30.58,0110-000157-000000
2022-03-27 08:00:00,48.47,31.49,0110-000157-000000
2022-03-27 09:00:00,39.87,32.69,0110-000157-000000
2022-03-27 10:00:00,38.64,29.3,0110-000157-000000
2022-03-27 11:00:00,30.32,26.35,0110-000157-000000
2022-03-27 12:00:00,31.66,25.58,0110-000157-000000
2022-03-27 13:00:00,29.52,25.68,0110-000157-000000
2022-03-27 14:00:00,25.34,22.59,0110-000157-000000
2022-03-27 15:00:00,31.93,23.87,0110-000157-000000
2022-03-27 16:00:00,26.92,22.73,0110-000157-000000
2022-03-27 17:00:00,32.82,21.29,0110-000157-000000
2022-03-27 18:00:00,27.2,23.74,0110-000157-000000
2022-03-27 19:00:00,26.72,22.5,0110-000157-000000
2022-03-27 20:00:00,29.4,22.71,0110-000157-000000
2022-03-27 21:00:00,31.84,23.89,0110-000157-000000
2022-03-27 22:00:00,31.65,28.51,0110-000157-000000
2022-03-27 23:00:00,35.91,31.04,0110-000157-000000
2022-03-28 00:00:00,29.15,27.41,0110-000157-000000
2022-03-28 01:00:00,29.68,27.48,0110-000157-000000
2022-03-28 02:00:00,26.76,24.64,0110-000157-000000
2022-03-28 03:00:00,30.14,27.92,0110-000157-000000
2022-03-28 04:00:00,27.16,24.07,0110-000157-000000
2022-03-28 05:00:00,27.45,25.53,0110-000157-000000
2022-03-28 06:00:00,26.15,23.77,0110-000157-000000
2022-03-28 07:00:00,34.88,24.45,0110-000157-000000
2022-03-28 08:00:00,41.31,17.52,0110-000157-000000
2022-03-28 09:00:00,19.13,13.41,0110-000157-000000
2022-03-28 10:00:00,28.01,20.25,0110-000157-000000
2022-03-28 11:00:00,35.0,22.18,0110-000157-000000
2022-03-28 12:00:00,32.06,21.45,0110-000157-000000
2022-03-28 13:00:00,28.58,19.16,0110-000157-000000
2022-03-28 14:00:00,24.03,16.66,0110-000157-000000
2022-03-28 15:00:00,21.23,14.93,0110-000157-000000
2022-03-28 16:00:00,23.33,16.44,0110-000157-000000
2022-03-28 17:00:00,20.48,19.01,0110-000157-000000
2022-03-28 18:00:00,29.41,20.24,0110-000157-000000
2022-03-28 19:00:00,25.59,20.61,0110-000157-000000
2022-03-28 20:00:00,29.3,23.05,0110-000157-000000
2022-03-28 21:00:00,33.64,25.57,0110-000157-000000
2022-03-28 22:00:00,34.39,27.14,0110-000157-000000
2022-03-28 23:00:00,26.99,25.49,0110-000157-000000
2022-03-29 00:00:00,29.94,28.7,0110-000157-000000
2022-03-29 01:00:00,22.4,21.48,0110-000157-000000
2022-03-29 02:00:00,24.23,22.71,0110-000157-000000
2022-03-29 03:00:00,30.35,24.54,0110-000157-000000
2022-03-29 04:00:00,18.12,16.99,0110-000157-000000
