datetime,no,no2,pm1,pm10,pm2_5,pm4,so2,serial_number
2021-04-30 22:00:00,27.77,-1.47,11.03,20.88,13.2,15.11,-0.05,DCC-AQ13
2021-04-30 23:00:00,46.69,2.92,14.4,23.06,16.59,18.55,0.12,DCC-AQ13
2021-05-01 00:00:00,43.65,3.44,9.53,18.44,11.58,13.57,0.0,DCC-AQ13
2021-05-01 01:00:00,34.25,-0.89,11.52,16.23,12.99,14.2,-0.18,DCC-AQ13
2021-05-01 02:00:00,35.84,2.6,14.88,20.1,16.39,17.62,-0.16,DCC-AQ13
2021-05-01 03:00:00,40.37,4.79,12.03,18.08,13.84,15.32,0.07,DCC-AQ13
2021-05-01 04:00:00,42.72,16.14,13.41,20.68,15.55,17.14,0.28,DCC-AQ13
2021-05-01 05:00:00,54.28,43.4,14.51,23.88,17.23,19.24,1.23,DCC-AQ13
2021-05-01 06:00:00,53.86,36.1,13.7,27.19,16.82,19.48,0.95,DCC-AQ13
2021-05-01 07:00:00,46.5,26.99,11.39,25.99,14.27,16.97,0.94,DCC-AQ13
2021-05-01 08:00:00,40.38,23.02,7.47,19.12,9.92,12.2,1.69,DCC-AQ13
2021-05-01 09:00:00,38.71,16.62,5.09,16.63,7.29,9.21,2.36,DCC-AQ13
2021-05-01 10:00:00,18.56,3.43,3.77,11.65,5.57,7.16,1.16,DCC-AQ13
2021-05-01 11:00:00,18.67,8.2,3.94,13.43,5.86,7.45,0.42,DCC-AQ13
2021-05-01 12:00:00,27.51,12.27,5.36,18.49,8.09,10.7,0.45,DCC-AQ13
2021-05-01 13:00:00,29.76,18.25,3.87,15.88,6.36,8.64,0.73,DCC-AQ13
2021-05-01 14:00:00,29.73,17.98,3.32,14.32,5.42,7.17,0.71,DCC-AQ13
2021-05-01 15:00:00,32.69,13.55,3.51,10.74,5.26,6.79,0.24,DCC-AQ13
2021-05-01 16:00:00,35.28,21.27,3.46,11.64,5.34,6.99,0.95,DCC-AQ13
2021-05-01 17:00:00,37.55,20.35,4.0,14.47,6.18,8.16,0.83,DCC-AQ13
2021-05-01 18:00:00,30.15,9.23,3.48,14.06,5.71,7.74,0.13,DCC-AQ13
2021-05-01 19:00:00,60.16,21.26,6.05,15.48,8.13,9.95,2.86,DCC-AQ13
2021-05-01 20:00:00,19.83,-0.08,6.88,14.09,8.76,10.42,1.19,DCC-AQ13
2021-05-01 21:00:00,35.75,1.0,6.12,12.05,7.74,9.17,1.6,DCC-AQ13
2021-05-01 22:00:00,13.5,-1.57,6.7,11.17,7.97,9.05,0.9,DCC-AQ13
2021-05-01 23:00:00,18.98,1.28,5.95,10.98,7.11,8.03,0.38,DCC-AQ13
2021-05-02 00:00:00,10.68,-2.09,5.75,9.86,6.73,7.41,-0.32,DCC-AQ13
2021-05-02 01:00:00,7.3,-2.22,5.7,7.38,6.32,6.83,-0.33,DCC-AQ13
2021-05-02 02:00:00,10.66,-2.12,5.79,7.7,6.45,6.89,-0.36,DCC-AQ13
2021-05-02 03:00:00,11.78,-2.45,6.9,9.44,7.63,8.16,-0.34,DCC-AQ13
2021-05-02 04:00:00,25.0,-1.5,7.49,10.62,8.24,8.85,-0.39,DCC-AQ13
2021-05-02 05:00:00,24.67,-0.05,7.65,11.64,8.54,9.31,-0.38,DCC-AQ13
2021-05-02 06:00:00,22.14,2.3,7.68,11.76,8.63,9.5,-0.29,DCC-AQ13
2021-05-02 07:00:00,17.65,1.62,8.39,13.35,9.66,10.55,-0.32,DCC-AQ13
2021-05-02 08:00:00,11.37,0.55,7.67,12.21,8.86,9.85,0.67,DCC-AQ13
2021-05-02 09:00:00,6.59,-0.95,6.35,9.97,7.3,8.1,1.9,DCC-AQ13
2021-05-02 10:00:00,9.82,-0.17,4.96,8.62,5.95,6.75,2.2,DCC-AQ13
2021-05-02 11:00:00,7.79,-0.72,4.55,8.43,5.45,6.21,1.03,DCC-AQ13
2021-05-02 12:00:00,18.33,4.85,5.76,12.05,6.89,7.76,2.91,DCC-AQ13
2021-05-02 13:00:00,28.75,13.51,8.16,14.21,9.38,10.34,1.43,DCC-AQ13
2021-05-02 14:00:00,24.33,6.92,8.65,13.69,9.77,10.79,1.08,DCC-AQ13
2021-05-02 15:00:00,24.57,4.9,9.13,14.78,10.3,11.33,0.23,DCC-AQ13
2021-05-02 16:00:00,25.98,8.92,8.41,13.41,9.54,10.62,0.13,DCC-AQ13
2021-05-02 17:00:00,34.36,13.45,8.52,19.29,10.29,11.8,0.1,DCC-AQ13
2021-05-02 18:00:00,46.84,15.68,7.62,15.72,9.11,10.39,0.28,DCC-AQ13
2021-05-02 19:00:00,54.03,26.9,6.96,12.65,8.13,9.12,0.74,DCC-AQ13
2021-05-02 20:00:00,50.21,11.7,5.73,12.26,7.06,8.35,0.25,DCC-AQ13
2021-05-02 21:00:00,41.46,4.53,10.12,16.39,11.48,12.58,1.33,DCC-AQ13
2021-05-02 22:00:00,40.39,3.23,8.61,13.28,9.68,10.51,1.66,DCC-AQ13
2021-05-02 23:00:00,44.37,20.21,6.96,13.68,8.26,9.35,1.93,DCC-AQ13
2021-05-03 00:00:00,39.29,2.89,4.39,8.21,5.24,5.97,1.34,DCC-AQ13
2021-05-03 01:00:00,30.09,2.18,4.27,7.74,5.08,5.77,0.72,DCC-AQ13
2021-05-03 02:00:00,36.8,3.17,3.33,7.85,4.25,5.14,0.88,DCC-AQ13
2021-05-03 03:00:00,22.42,-0.17,4.46,9.61,5.38,6.16,0.73,DCC-AQ13
2021-05-03 04:00:00,25.12,7.8,2.27,8.79,3.26,4.02,0.82,DCC-AQ13
2021-05-03 05:00:00,31.94,10.28,1.87,4.71,2.45,2.94,0.58,DCC-AQ13
2021-05-03 06:00:00,48.7,23.14,2.47,6.67,3.55,4.68,0.92,DCC-AQ13
2021-05-03 07:00:00,35.02,15.89,1.41,5.22,2.37,3.4,0.33,DCC-AQ13
2021-05-03 08:00:00,41.39,15.88,0.88,2.69,1.36,1.81,0.4,DCC-AQ13
2021-05-03 09:00:00,13.53,2.45,0.8,2.41,1.21,1.56,0.32,DCC-AQ13
2021-05-03 10:00:00,13.57,4.03,0.44,2.6,0.86,1.23,0.18,DCC-AQ13
2021-05-03 11:00:00,17.24,10.1,0.51,2.09,0.84,1.2,0.21,DCC-AQ13
2021-05-03 12:00:00,19.65,9.32,0.82,3.86,1.44,2.01,1.73,DCC-AQ13
2021-05-03 13:00:00,11.52,0.93,1.41,6.21,2.77,3.97,0.88,DCC-AQ13
2021-05-03 14:00:00,6.66,-0.12,3.3,20.16,7.28,10.8,1.42,DCC-AQ13
2021-05-03 15:00:00,9.31,1.06,3.89,21.55,7.93,11.44,0.95,DCC-AQ13
2021-05-03 16:00:00,14.36,2.39,3.53,15.99,6.65,9.53,0.73,DCC-AQ13
2021-05-03 17:00:00,16.12,3.01,3.05,16.17,6.13,8.89,1.04,DCC-AQ13
2021-05-03 18:00:00,14.97,2.71,2.58,9.2,4.32,5.61,0.58,DCC-AQ13
2021-05-03 19:00:00,10.26,-0.81,2.36,6.6,3.92,5.19,0.01,DCC-AQ13
2021-05-03 20:00:00,3.99,-2.33,1.6,3.88,2.27,2.7,0.14,DCC-AQ13
2021-05-03 21:00:00,7.25,-0.89,1.82,3.22,2.3,2.66,0.06,DCC-AQ13
2021-05-03 22:00:00,4.58,-2.68,1.66,3.47,2.32,2.8,-0.11,DCC-AQ13
2021-05-03 23:00:00,2.55,-2.76,1.03,2.65,1.44,1.84,-0.13,DCC-AQ13
2021-05-04 00:00:00,2.37,-2.79,0.66,2.45,1.12,1.54,-0.18,DCC-AQ13
2021-05-04 01:00:00,1.85,-2.66,0.81,3.4,1.5,2.14,-0.25,DCC-AQ13
2021-05-04 02:00:00,2.25,-2.66,0.99,4.93,1.97,2.85,-0.34,DCC-AQ13
2021-05-04 03:00:00,3.35,-2.44,1.16,5.21,2.2,3.06,-0.31,DCC-AQ13
2021-05-04 04:00:00,8.61,-1.0,1.51,6.57,2.98,4.27,-0.29,DCC-AQ13
2021-05-04 05:00:00,36.65,23.15,2.04,12.42,4.53,6.76,0.32,DCC-AQ13
2021-05-04 06:00:00,33.6,22.17,1.87,17.03,4.86,7.65,0.21,DCC-AQ13
2021-05-04 07:00:00,21.73,17.78,1.61,16.85,4.64,7.72,0.33,DCC-AQ13
2021-05-04 08:00:00,12.14,2.42,1.8,20.17,4.91,7.49,-0.11,DCC-AQ13
2021-05-04 09:00:00,9.8,3.61,1.39,22.29,4.46,6.91,-0.1,DCC-AQ13
2021-05-04 10:00:00,7.08,1.08,1.1,22.32,3.97,6.4,-0.4,DCC-AQ13
2021-05-04 11:00:00,19.27,16.88,0.98,24.42,3.89,6.31,0.24,DCC-AQ13
2021-05-04 12:00:00,9.74,3.12,1.11,15.86,3.46,5.74,-0.32,DCC-AQ13
2021-05-04 13:00:00,10.3,3.02,0.86,7.78,2.0,3.1,-0.31,DCC-AQ13
