datetime,pm1,pm10,pm2_5,pm4,serial_number
2021-04-30 22:00:00,9.14,11.72,10.06,10.9,DCC-AQ3
2021-04-30 23:00:00,11.94,16.13,13.08,13.99,DCC-AQ3
2021-05-01 00:00:00,14.42,17.98,15.56,16.54,DCC-AQ3
2021-05-01 01:00:00,14.92,19.36,16.09,16.92,DCC-AQ3
2021-05-01 02:00:00,17.59,20.78,18.8,19.65,DCC-AQ3
2021-05-01 03:00:00,15.58,18.64,16.62,17.4,DCC-AQ3
2021-05-01 04:00:00,15.78,18.73,16.78,17.61,DCC-AQ3
2021-05-01 05:00:00,16.34,20.05,17.44,18.26,DCC-AQ3
2021-05-01 06:00:00,15.59,19.26,16.72,17.62,DCC-AQ3
2021-05-01 07:00:00,12.45,17.54,13.83,14.92,DCC-AQ3
2021-05-01 08:00:00,9.71,17.34,11.52,12.97,DCC-AQ3
2021-05-01 09:00:00,6.48,11.58,8.08,9.47,DCC-AQ3
2021-05-01 10:00:00,5.1,9.66,6.49,7.69,DCC-AQ3
2021-05-01 11:00:00,4.95,9.58,6.36,7.63,DCC-AQ3
2021-05-01 12:00:00,3.58,8.35,4.89,6.03,DCC-AQ3
2021-05-01 13:00:00,3.37,7.84,4.7,5.83,DCC-AQ3
2021-05-01 14:00:00,3.68,7.81,5.09,6.47,DCC-AQ3
2021-05-01 15:00:00,3.66,7.44,4.99,6.22,DCC-AQ3
2021-05-01 16:00:00,4.06,9.3,5.49,6.62,DCC-AQ3
2021-05-01 17:00:00,3.32,7.66,4.63,5.83,DCC-AQ3
2021-05-01 18:00:00,3.2,7.28,4.4,5.43,DCC-AQ3
2021-05-01 19:00:00,4.11,7.46,5.31,6.38,DCC-AQ3
2021-05-01 20:00:00,5.42,9.27,6.7,7.79,DCC-AQ3
2021-05-01 21:00:00,7.15,10.94,8.47,9.66,DCC-AQ3
2021-05-01 22:00:00,8.68,12.43,9.91,10.99,DCC-AQ3
2021-05-01 23:00:00,7.46,10.14,8.32,8.97,DCC-AQ3
2021-05-02 00:00:00,6.5,8.39,7.13,7.56,DCC-AQ3
2021-05-02 01:00:00,6.28,7.65,6.78,7.17,DCC-AQ3
2021-05-02 02:00:00,6.62,8.09,7.16,7.62,DCC-AQ3
2021-05-02 03:00:00,6.43,7.97,6.92,7.27,DCC-AQ3
2021-05-02 04:00:00,7.02,8.15,7.48,7.9,DCC-AQ3
2021-05-02 05:00:00,8.17,9.62,8.71,9.21,DCC-AQ3
2021-05-02 06:00:00,9.07,10.83,9.74,10.29,DCC-AQ3
2021-05-02 07:00:00,8.37,10.76,9.06,9.62,DCC-AQ3
2021-05-02 08:00:00,8.7,10.92,9.4,10.02,DCC-AQ3
2021-05-02 09:00:00,7.72,10.15,8.52,9.05,DCC-AQ3
2021-05-02 10:00:00,6.11,9.02,6.91,7.53,DCC-AQ3
2021-05-02 11:00:00,6.9,9.45,7.63,8.28,DCC-AQ3
2021-05-02 12:00:00,3.96,6.01,4.55,5.09,DCC-AQ3
2021-05-02 13:00:00,3.73,6.48,4.37,4.97,DCC-AQ3
