datetime,date,hour,avgtempC,maxtempC,mintempC,sunHour,uvIndex,humidity,winddirDegree,windspeedKmph,cloudcover,precipMM,pressure,latitude,longitude
2022-06-01 00:00:00,2022-06-01,00:00,11,14,7,15.0,3,89,275,7,74,0.8,1018,53.333,-6.249
2022-06-01 01:00:00,2022-06-01,01:00,11,14,7,15.0,3,89,276,7,62,0.7,1018,53.333,-6.249
2022-06-01 02:00:00,2022-06-01,02:00,11,14,7,15.0,3,88,278,12,81,0.2,1018,53.333,-6.249
2022-06-01 03:00:00,2022-06-01,03:00,11,14,7,15.0,3,88,279,12,37,0.0,1018,53.333,-6.249
2022-06-01 04:00:00,2022-06-01,04:00,11,14,7,15.0,3,88,281,12,30,0.0,1019,53.333,-6.249
2022-06-01 05:00:00,2022-06-01,05:00,11,14,7,15.0,3,88,284,11,22,0.0,1019,53.333,-6.249
2022-06-01 06:00:00,2022-06-01,06:00,11,14,7,15.0,3,88,286,11,15,0.0,1019,53.333,-6.249
2022-06-01 07:00:00,2022-06-01,07:00,11,14,7,15.0,3,83,299,11,13,0.0,1020,53.333,-6.249
2022-06-01 08:00:00,2022-06-01,08:00,11,14,7,15.0,3,79,312,11,11,0.0,1020,53.333,-6.249
2022-06-01 09:00:00,2022-06-01,09:00,11,14,7,15.0,3,75,326,11,87,0.1,1020,53.333,-6.249
2022-06-01 10:00:00,2022-06-01,10:00,11,14,7,15.0,3,72,235,11,74,0.1,1020,53.333,-6.249
2022-06-01 11:00:00,2022-06-01,11:00,11,14,7,15.0,3,69,144,11,15,0.0,1020,53.333,-6.249
2022-06-01 12:00:00,2022-06-01,12:00,11,14,7,15.0,3,66,53,11,18,0.0,1020,53.333,-6.249
2022-06-01 13:00:00,2022-06-01,13:00,11,14,7,15.0,3,67,77,11,32,0.0,1021,53.333,-6.249
2022-06-01 14:00:00,2022-06-01,14:00,11,14,7,15.0,3,69,101,11,46,0.0,1021,53.333,-6.249
2022-06-01 15:00:00,2022-06-01,15:00,11,14,7,15.0,3,71,125,11,60,0.0,1021,53.333,-6.249
2022-06-01 16:00:00,2022-06-01,16:00,11,14,7,15.0,3,72,130,11,46,0.0,1021,53.333,-6.249
2022-06-01 17:00:00,2022-06-01,17:00,11,14,7,15.0,3,72,136,10,31,0.0,1021,53.333,-6.249
2022-06-01 18:00:00,2022-06-01,18:00,11,14,7,15.0,3,73,142,9,17,0.0,1020,53.333,-6.249
2022-06-01 19:00:00,2022-06-01,19:00,11,14,7,15.0,3,77,153,9,17,0.0,1021,53.333,-6.249
2022-06-01 20:00:00,2022-06-01,20:00,11,14,7,15.0,3,81,165,8,17,0.0,1021,53.333,-6.249
2022-06-01 21:00:00,2022-06-01,21:00,11,14,7,15.0,3,86,176,8,17,0.0,1021,53.333,-6.249
2022-06-01 22:00:00,2022-06-01,22:00,11,14,7,15.0,3,85,181,7,16,0.0,1021,53.333,-6.249
2022-06-01 23:00:00,2022-06-01,23:00,11,14,7,15.0,3,85,185,6,15,0.0,1021,53.333,-6.249
2022-06-02 00:00:00,2022-06-02,00:00,12,15,8,11.0,4,84,190,6,15,0.0,1021,53.333,-6.249
2022-06-02 01:00:00,2022-06-02,01:00,12,15,8,11.0,4,84,186,6,24,0.0,1021,53.333,-6.249
2022-06-02 02:00:00,2022-06-02,02:00,12,15,8,11.0,4,84,183,7,34,0.0,1020,53.333,-6.249
2022-06-02 03:00:00,2022-06-02,03:00,12,15,8,11.0,4,84,179,7,44,0.0,1020,53.333,-6.249
2022-06-02 04:00:00,2022-06-02,04:00,12,15,8,11.0,4,83,182,7,45,0.0,1020,53.333,-6.249
2022-06-02 05:00:00,2022-06-02,05:00,12,15,8,11.0,4,81,185,6,45,0.0,1020,53.333,-6.249
2022-06-02 06:00:00,2022-06-02,06:00,12,15,8,11.0,4,79,188,6,46,0.0,1020,53.333,-6.249
2022-06-02 07:00:00,2022-06-02,07:00,12,15,8,11.0,4,76,166,6,64,0.0,1020,53.333,-6.249
2022-06-02 08:00:00,2022-06-02,08:00,12,15,8,11.0,4,73,144,7,82,0.0,1020,53.333,-6.249
2022-06-02 09:00:00,2022-06-02,09:00,12,15,8,11.0,4,70,122,8,100,0.0,1020,53.333,-6.249
2022-06-02 10:00:00,2022-06-02,10:00,12,15,8,11.0,4,68,122,10,84,0.0,1020,53.333,-6.249
2022-06-02 11:00:00,2022-06-02,11:00,12,15,8,11.0,4,67,122,12,68,0.0,1020,53.333,-6.249
2022-06-02 12:00:00,2022-06-02,12:00,12,15,8,11.0,4,66,121,14,52,0.0,1020,53.333,-6.249
2022-06-02 13:00:00,2022-06-02,13:00,12,15,8,11.0,4,67,126,13,59,0.0,1020,53.333,-6.249
2022-06-02 14:00:00,2022-06-02,14:00,12,15,8,11.0,4,67,130,12,66,0.0,1020,53.333,-6.249
2022-06-02 15:00:00,2022-06-02,15:00,12,15,8,11.0,4,68,134,11,72,0.0,1020,53.333,-6.249
2022-06-02 16:00:00,2022-06-02,16:00,12,15,8,11.0,4,67,138,11,63,0.0,1019,53.333,-6.249
2022-06-02 17:00:00,2022-06-02,17:00,12,15,8,11.0,4,66,142,11,54,0.8,1019,53.333,-6.249
2022-06-02 18:00:00,2022-06-02,18:00,12,15,8,11.0,4,66,146,10,81,1.5,1019,53.333,-6.249
2022-06-02 19:00:00,2022-06-02,19:00,12,15,8,11.0,4,68,148,10,87,0.9,1019,53.333,-6.249
2022-06-02 20:00:00,2022-06-02,20:00,12,15,8,11.0,4,70,150,10,52,0.9,1019,53.333,-6.249
2022-06-02 21:00:00,2022-06-02,21:00,12,15,8,11.0,4,73,152,5,55,1.0,1019,53.333,-6.249
2022-06-02 22:00:00,2022-06-02,22:00,12,15,8,11.0,4,80,136,7,67,0.9,1019,53.333,-6.249
2022-06-02 23:00:00,2022-06-02,23:00,12,15,8,11.0,4,88,120,4,80,0.4,1020,53.333,-6.249
2022-06-03 00:00:00,2022-06-03,00:00,12,14,10,12.0,3,96,105,2,93,1.3,1020,53.333,-6.249
2022-06-03 01:00:00,2022-06-03,01:00,12,14,10,12.0,3,95,89,3,92,0.4,1020,53.333,-6.249
2022-06-03 02:00:00,2022-06-03,02:00,12,14,10,12.0,3,95,74,3,91,0.2,1020,53.333,-6.249
2022-06-03 03:00:00,2022-06-03,03:00,12,14,10,12.0,3,95,59,4,90,0.1,1020,53.333,-6.249
2022-06-03 04:00:00,2022-06-03,04:00,12,14,10,12.0,3,94,40,5,83,0.1,1021,53.333,-6.249
2022-06-03 05:00:00,2022-06-03,05:00,12,14,10,12.0,3,92,20,6,77,0.0,1021,53.333,-6.249
2022-06-03 06:00:00,2022-06-03,06:00,12,14,10,12.0,3,91,1,8,71,0.0,1021,53.333,-6.249
2022-06-03 07:00:00,2022-06-03,07:00,12,14,10,12.0,3,90,120,9,56,0.0,1021,53.333,-6.249
2022-06-03 08:00:00,2022-06-03,08:00,12,14,10,12.0,3,89,238,10,41,0.0,1021,53.333,-6.249
2022-06-03 09:00:00,2022-06-03,09:00,12,14,10,12.0,3,87,357,12,26,0.0,1021,53.333,-6.249
2022-06-03 10:00:00,2022-06-03,10:00,12,14,10,12.0,3,84,251,14,87,0.1,1022,53.333,-6.249
2022-06-03 11:00:00,2022-06-03,11:00,12,14,10,12.0,3,80,145,16,67,0.1,1022,53.333,-6.249
2022-06-03 12:00:00,2022-06-03,12:00,12,14,10,12.0,3,77,40,18,88,0.1,1022,53.333,-6.249
2022-06-03 13:00:00,2022-06-03,13:00,12,14,10,12.0,3,78,37,18,72,0.1,1022,53.333,-6.249
2022-06-03 14:00:00,2022-06-03,14:00,12,14,10,12.0,3,80,35,18,57,0.1,1023,53.333,-6.249
2022-06-03 15:00:00,2022-06-03,15:00,12,14,10,12.0,3,82,33,18,74,0.1,1023,53.333,-6.249
