date,hour,avgtempC,maxtempC,mintempC,sunHour,uvIndex,humidity,winddirDegree,windspeedKmph,cloudcover,precipMM,pressure,latitude,longitude
2021-07-05,00:00,14,16,11,10.0,3,92,259,11,63,0.5,1004,53.333,-6.249
2021-07-05,01:00,14,16,11,10.0,3,91,253,12,87,0.2,1004,53.333,-6.249
2021-07-05,02:00,14,16,11,10.0,3,90,248,12,89,0.1,1004,53.333,-6.249
2021-07-05,03:00,14,16,11,10.0,3,88,243,13,8,0.0,1004,53.333,-6.249
2021-07-05,04:00,14,16,11,10.0,3,88,237,11,10,0.0,1004,53.333,-6.249
2021-07-05,05:00,14,16,11,10.0,3,88,232,10,12,0.0,1005,53.333,-6.249
2021-07-05,06:00,14,16,11,10.0,3,88,227,12,14,0.0,1005,53.333,-6.249
2021-07-05,07:00,14,16,11,10.0,3,82,212,12,17,0.0,1005,53.333,-6.249
2021-07-05,08:00,14,16,11,10.0,3,76,197,11,21,0.0,1005,53.333,-6.249
2021-07-05,09:00,14,16,11,10.0,3,70,182,10,24,0.0,1005,53.333,-6.249
2021-07-05,10:00,14,16,11,10.0,3,69,168,9,31,0.0,1004,53.333,-6.249
2021-07-05,11:00,14,16,11,10.0,3,68,154,12,39,0.0,1004,53.333,-6.249
2021-07-05,12:00,14,16,11,10.0,3,67,139,15,46,0.0,1003,53.333,-6.249
2021-07-05,13:00,14,16,11,10.0,3,70,148,17,59,0.0,1003,53.333,-6.249
2021-07-05,14:00,14,16,11,10.0,3,73,156,15,72,0.0,1002,53.333,-6.249
2021-07-05,15:00,14,16,11,10.0,3,77,165,16,85,0.0,1002,53.333,-6.249
2021-07-05,16:00,14,16,11,10.0,3,77,161,20,80,0.0,1001,53.333,-6.249
2021-07-05,17:00,14,16,11,10.0,3,78,158,18,76,0.0,1001,53.333,-6.249
2021-07-05,18:00,14,16,11,10.0,3,78,155,17,71,0.0,1000,53.333,-6.249
2021-07-05,19:00,14,16,11,10.0,3,79,204,13,81,0.0,999,53.333,-6.249
2021-07-05,20:00,14,16,11,10.0,3,80,253,9,90,0.0,998,53.333,-6.249
2021-07-05,21:00,14,16,11,10.0,3,81,302,5,100,0.0,998,53.333,-6.249
2021-07-05,22:00,14,16,11,10.0,3,82,222,7,87,0.0,997,53.333,-6.249
2021-07-05,23:00,14,16,11,10.0,3,83,142,9,74,0.0,997,53.333,-6.249
2021-07-06,00:00,14,18,12,5.0,3,84,62,12,61,0.0,997,53.333,-6.249
2021-07-06,01:00,14,18,12,5.0,3,85,50,9,73,0.0,996,53.333,-6.249
2021-07-06,02:00,14,18,12,5.0,3,85,38,10,85,0.0,995,53.333,-6.249
2021-07-06,03:00,14,18,12,5.0,3,86,27,12,97,0.0,994,53.333,-6.249
2021-07-06,04:00,14,18,12,5.0,3,87,133,14,98,0.0,994,53.333,-6.249
