datetime,pm10,pm2_5,serial_number
2022-06-30 00:00:00,1.97,1.32,0110-000141-000000
2022-06-30 01:00:00,2.04,1.44,0110-000141-000000
2022-06-30 02:00:00,1.93,1.43,0110-000141-000000
2022-06-30 03:00:00,2.25,1.56,0110-000141-000000
2022-06-30 04:00:00,2.51,1.68,0110-000141-000000
2022-06-30 05:00:00,2.24,1.66,0110-000141-000000
2022-06-30 06:00:00,1.96,1.62,0110-000141-000000
2022-06-30 07:00:00,2.62,1.72,0110-000141-000000
2022-06-30 08:00:00,2.79,1.86,0110-000141-000000
2022-06-30 09:00:00,2.4,1.66,0110-000141-000000
2022-06-30 10:00:00,3.16,1.63,0110-000141-000000
2022-06-30 11:00:00,2.7,1.78,0110-000141-000000
2022-06-30 12:00:00,2.77,1.86,0110-000141-000000
2022-06-30 13:00:00,2.59,1.81,0110-000141-000000
2022-06-30 14:00:00,2.52,1.66,0110-000141-000000
2022-06-30 15:00:00,3.02,1.99,0110-000141-000000
2022-06-30 16:00:00,3.3,2.18,0110-000141-000000
2022-06-30 17:00:00,2.79,2.04,0110-000141-000000
2022-06-30 18:00:00,2.36,1.75,0110-000141-000000
2022-06-30 19:00:00,1.98,1.44,0110-000141-000000
2022-06-30 20:00:00,1.95,1.54,0110-000141-000000
2022-06-30 21:00:00,1.96,1.47,0110-000141-000000
2022-06-30 22:00:00,2.19,1.46,0110-000141-000000
2022-07-01 00:00:00,1.96,1.43,0110-000141-000000
2022-07-01 01:00:00,2.01,1.38,0110-000141-000000
2022-07-01 02:00:00,1.91,1.44,0110-000141-000000
2022-07-01 03:00:00,1.82,1.45,0110-000141-000000
2022-07-01 04:00:00,2.0,1.47,0110-000141-000000
2022-07-01 05:00:00,2.28,1.53,0110-000141-000000
2022-07-01 06:00:00,2.2,1.66,0110-000141-000000
2022-07-01 07:00:00,2.2,1.77,0110-000141-000000
2022-07-01 08:00:00,2.48,1.85,0110-000141-000000
2022-07-01 09:00:00,2.05,1.56,0110-000141-000000
2022-07-01 10:00:00,1.91,1.37,0110-000141-000000
2022-07-01 11:00:00,1.91,1.37,0110-000141-000000
2022-07-01 12:00:00,2.06,1.36,0110-000141-000000
2022-07-01 13:00:00,3.75,1.58,0110-000141-000000
2022-07-01 14:00:00,3.07,1.42,0110-000141-000000
2022-07-01 15:00:00,2.12,1.23,0110-000141-000000
2022-07-01 16:00:00,1.86,1.14,0110-000141-000000
