datetime,co,no,no2,so2,serial_number
2021-04-30 22:00:00,0.47,6.54,68.0,0.73,DCC-AQ1
2021-04-30 23:00:00,0.55,8.21,60.76,1.05,DCC-AQ1
2021-05-01 00:00:00,0.49,2.19,52.77,0.99,DCC-AQ1
2021-05-01 01:00:00,0.47,5.92,51.68,0.95,DCC-AQ1
2021-05-01 02:00:00,0.39,2.32,42.85,0.69,DCC-AQ1
2021-05-01 03:00:00,0.35,0.89,25.0,0.73,DCC-AQ1
2021-05-01 04:00:00,0.36,1.58,31.68,0.93,DCC-AQ1
2021-05-01 05:00:00,0.36,2.62,28.46,0.82,DCC-AQ1
2021-05-01 06:00:00,0.36,5.9,33.85,1.12,DCC-AQ1
2021-05-01 07:00:00,0.37,7.7,31.97,1.34,DCC-AQ1
2021-05-01 08:00:00,0.34,4.55,19.89,1.37,DCC-AQ1
2021-05-01 09:00:00,0.35,2.68,10.52,2.4,DCC-AQ1
2021-05-01 10:00:00,0.33,2.75,16.61,2.12,DCC-AQ1
2021-05-01 11:00:00,0.35,2.41,20.1,2.21,DCC-AQ1
2021-05-01 12:00:00,0.34,2.71,22.13,2.15,DCC-AQ1
2021-05-01 13:00:00,0.34,2.33,12.19,1.84,DCC-AQ1
2021-05-01 14:00:00,0.32,1.93,10.67,1.27,DCC-AQ1
2021-05-01 15:00:00,0.35,1.51,10.86,1.42,DCC-AQ1
2021-05-01 16:00:00,0.35,1.65,8.79,1.22,DCC-AQ1
2021-05-01 17:00:00,0.35,1.07,7.79,0.92,DCC-AQ1
2021-05-01 18:00:00,0.35,0.87,11.78,1.07,DCC-AQ1
2021-05-01 19:00:00,0.35,0.72,15.74,1.24,DCC-AQ1
2021-05-01 20:00:00,0.36,0.71,21.27,1.4,DCC-AQ1
2021-05-01 21:00:00,0.41,1.14,21.84,1.58,DCC-AQ1
2021-05-01 22:00:00,0.35,0.88,10.07,1.62,DCC-AQ1
2021-05-01 23:00:00,0.39,0.78,7.26,1.4,DCC-AQ1
2021-05-02 00:00:00,0.35,0.52,5.49,0.89,DCC-AQ1
2021-05-02 01:00:00,0.35,0.59,5.94,0.71,DCC-AQ1
2021-05-02 02:00:00,0.35,0.25,4.56,0.61,DCC-AQ1
2021-05-02 03:00:00,0.35,0.9,20.35,0.48,DCC-AQ1
2021-05-02 04:00:00,0.35,1.87,38.26,0.38,DCC-AQ1
2021-05-02 05:00:00,0.35,1.75,17.64,0.39,DCC-AQ1
2021-05-02 06:00:00,0.35,6.37,31.82,0.76,DCC-AQ1
2021-05-02 07:00:00,0.35,2.55,12.59,0.81,DCC-AQ1
2021-05-02 08:00:00,0.35,1.14,4.19,0.94,DCC-AQ1
2021-05-02 09:00:00,0.35,1.91,5.64,1.56,DCC-AQ1
2021-05-02 10:00:00,0.35,2.11,5.94,1.29,DCC-AQ1
2021-05-02 11:00:00,0.34,1.93,6.07,1.18,DCC-AQ1
2021-05-02 12:00:00,0.34,1.57,4.03,0.79,DCC-AQ1
2021-05-02 13:00:00,0.34,1.83,5.36,1.12,DCC-AQ1
2021-05-02 14:00:00,0.35,1.56,6.75,0.78,DCC-AQ1
2021-05-02 15:00:00,0.35,2.79,20.85,1.51,DCC-AQ1
2021-05-02 16:00:00,0.35,4.55,24.67,1.89,DCC-AQ1
2021-05-02 17:00:00,0.32,1.3,8.34,0.95,DCC-AQ1
2021-05-02 18:00:00,0.34,1.02,7.95,1.03,DCC-AQ1
2021-05-02 19:00:00,0.35,1.0,10.48,0.95,DCC-AQ1
2021-05-02 20:00:00,0.38,0.6,18.44,1.46,DCC-AQ1
2021-05-02 21:00:00,0.49,1.77,33.17,3.48,DCC-AQ1
2021-05-02 22:00:00,0.42,0.86,18.96,2.16,DCC-AQ1
2021-05-02 23:00:00,0.38,0.74,16.92,1.97,DCC-AQ1
2021-05-03 00:00:00,0.39,0.64,12.98,1.89,DCC-AQ1
2021-05-03 01:00:00,0.38,0.31,19.46,1.37,DCC-AQ1
2021-05-03 02:00:00,0.35,0.75,10.27,1.78,DCC-AQ1
2021-05-03 03:00:00,0.35,0.39,2.54,1.74,DCC-AQ1
2021-05-03 04:00:00,0.34,0.79,3.49,1.3,DCC-AQ1
2021-05-03 05:00:00,0.35,0.49,6.7,1.03,DCC-AQ1
2021-05-03 06:00:00,0.35,1.01,15.64,1.37,DCC-AQ1
2021-05-03 07:00:00,0.35,0.82,8.71,1.28,DCC-AQ1
2021-05-03 08:00:00,0.35,0.66,5.87,1.52,DCC-AQ1
2021-05-03 09:00:00,0.35,1.17,1.76,1.77,DCC-AQ1
2021-05-03 10:00:00,0.35,1.28,1.97,2.06,DCC-AQ1
2021-05-03 11:00:00,0.29,1.29,3.37,2.5,DCC-AQ1
2021-05-03 12:00:00,0.25,1.09,3.05,2.44,DCC-AQ1
2021-05-03 13:00:00,0.32,1.24,3.33,2.51,DCC-AQ1
2021-05-03 14:00:00,0.34,1.07,1.14,2.93,DCC-AQ1
2021-05-03 15:00:00,0.35,1.31,2.62,2.67,DCC-AQ1
2021-05-03 16:00:00,0.35,0.86,2.38,2.69,DCC-AQ1
2021-05-03 17:00:00,0.35,0.98,2.77,2.72,DCC-AQ1
2021-05-03 18:00:00,0.35,0.86,2.78,2.78,DCC-AQ1
2021-05-03 19:00:00,0.35,0.77,4.19,2.62,DCC-AQ1
2021-05-03 20:00:00,0.35,1.05,3.88,2.45,DCC-AQ1
2021-05-03 21:00:00,0.35,0.87,7.84,2.37,DCC-AQ1
2021-05-03 22:00:00,0.35,0.56,4.68,2.41,DCC-AQ1
2021-05-03 23:00:00,0.35,0.42,0.7,2.14,DCC-AQ1
2021-05-04 00:00:00,0.35,0.59,2.15,2.02,DCC-AQ1
2021-05-04 01:00:00,0.34,0.43,0.03,2.07,DCC-AQ1
2021-05-04 02:00:00,0.33,0.43,-0.33,1.84,DCC-AQ1
2021-05-04 03:00:00,0.35,0.73,-0.06,1.78,DCC-AQ1
2021-05-04 04:00:00,0.28,1.15,6.0,1.82,DCC-AQ1
2021-05-04 05:00:00,0.35,3.34,25.38,1.78,DCC-AQ1
2021-05-04 06:00:00,0.35,5.66,22.01,1.92,DCC-AQ1
2021-05-04 07:00:00,0.35,5.6,14.06,2.0,DCC-AQ1
2021-05-04 08:00:00,0.32,6.8,12.46,2.11,DCC-AQ1
2021-05-04 09:00:00,0.33,6.0,10.91,2.23,DCC-AQ1
2021-05-04 10:00:00,0.34,4.86,9.53,2.12,DCC-AQ1
2021-05-04 11:00:00,0.34,4.01,6.17,1.9,DCC-AQ1
2021-05-04 12:00:00,0.35,4.24,10.03,1.81,DCC-AQ1
2021-05-04 13:00:00,0.35,4.52,7.7,1.7,DCC-AQ1
2021-05-04 14:00:00,0.35,6.31,10.13,1.8,DCC-AQ1
2021-05-04 15:00:00,0.36,7.25,14.69,2.01,DCC-AQ1
2021-05-04 16:00:00,0.4,11.99,22.55,2.35,DCC-AQ1
2021-05-04 17:00:00,0.35,3.56,13.0,1.92,DCC-AQ1
2021-05-04 18:00:00,0.35,2.2,8.58,1.68,DCC-AQ1
2021-05-04 19:00:00,0.35,1.41,11.15,1.53,DCC-AQ1
2021-05-04 20:00:00,0.35,1.22,14.71,1.42,DCC-AQ1
2021-05-04 21:00:00,0.35,0.81,14.14,1.28,DCC-AQ1
2021-05-04 22:00:00,0.37,0.98,15.25,1.39,DCC-AQ1
2021-05-04 23:00:00,0.35,1.02,13.83,1.24,DCC-AQ1
2021-05-05 00:00:00,0.34,0.77,2.16,1.16,DCC-AQ1
2021-05-05 01:00:00,0.29,0.82,9.23,1.24,DCC-AQ1
2021-05-05 02:00:00,0.29,0.52,2.42,1.29,DCC-AQ1
2021-05-05 03:00:00,0.28,0.68,3.96,1.35,DCC-AQ1
2021-05-05 04:00:00,0.35,1.32,14.15,1.33,DCC-AQ1
2021-05-05 05:00:00,0.35,4.07,22.07,1.37,DCC-AQ1
2021-05-05 06:00:00,0.36,8.72,30.9,1.74,DCC-AQ1
2021-05-05 07:00:00,0.35,11.55,25.12,1.59,DCC-AQ1
2021-05-05 08:00:00,0.36,8.7,16.7,1.69,DCC-AQ1
2021-05-05 09:00:00,0.35,4.92,9.57,1.75,DCC-AQ1
2021-05-05 10:00:00,0.36,6.29,16.48,1.82,DCC-AQ1
2021-05-05 11:00:00,0.35,7.97,16.79,1.72,DCC-AQ1
2021-05-05 12:00:00,0.35,4.35,9.86,1.55,DCC-AQ1
2021-05-05 13:00:00,0.36,6.23,14.26,1.75,DCC-AQ1
2021-05-05 14:00:00,0.36,5.79,13.05,2.05,DCC-AQ1
2021-05-05 15:00:00,0.36,4.14,20.98,1.59,DCC-AQ1
2021-05-05 16:00:00,0.36,5.28,21.1,1.57,DCC-AQ1
2021-05-06 00:00:00,0.38,7.24,40.1,1.74,DCC-AQ1
2021-05-06 01:00:00,0.35,0.99,22.12,1.55,DCC-AQ1
2021-05-06 02:00:00,0.35,1.46,23.99,1.62,DCC-AQ1
2021-05-06 03:00:00,0.35,0.72,16.26,1.46,DCC-AQ1
2021-05-06 04:00:00,0.35,1.75,19.83,1.84,DCC-AQ1
2021-05-06 05:00:00,0.35,10.93,41.34,2.23,DCC-AQ1
2021-05-06 06:00:00,0.36,23.54,46.08,2.76,DCC-AQ1
2021-05-06 07:00:00,0.36,13.75,31.34,2.17,DCC-AQ1
2021-05-06 08:00:00,0.36,9.91,22.33,2.23,DCC-AQ1
2021-05-06 09:00:00,0.39,5.17,10.81,2.67,DCC-AQ1
2021-05-06 10:00:00,0.44,4.96,9.46,2.47,DCC-AQ1
2021-05-06 11:00:00,0.35,4.52,8.98,2.03,DCC-AQ1
2021-05-06 12:00:00,0.35,3.92,8.17,2.08,DCC-AQ1
2021-05-06 13:00:00,0.35,5.33,10.65,2.07,DCC-AQ1
2021-05-06 14:00:00,0.36,7.12,14.14,2.22,DCC-AQ1
2021-05-06 15:00:00,0.36,5.29,13.71,1.82,DCC-AQ1
2021-05-06 16:00:00,0.36,5.61,12.53,1.73,DCC-AQ1
2021-05-06 17:00:00,0.36,4.4,12.21,1.74,DCC-AQ1
2021-05-06 18:00:00,0.35,2.17,10.33,1.7,DCC-AQ1
2021-05-06 19:00:00,0.35,1.96,15.54,1.87,DCC-AQ1
2021-05-06 20:00:00,0.35,1.47,10.7,1.9,DCC-AQ1
2021-05-06 21:00:00,0.35,1.2,14.54,1.81,DCC-AQ1
2021-05-06 22:00:00,0.35,3.33,34.0,1.47,DCC-AQ1
2021-05-06 23:00:00,0.35,3.67,33.12,1.31,DCC-AQ1
2021-05-07 00:00:00,0.36,0.78,14.71,1.14,DCC-AQ1
2021-05-07 01:00:00,0.35,0.45,11.09,1.12,DCC-AQ1
2021-05-07 02:00:00,0.35,0.73,12.94,0.95,DCC-AQ1
2021-05-07 03:00:00,0.35,0.72,8.58,1.13,DCC-AQ1
2021-05-07 04:00:00,0.35,1.08,13.77,0.97,DCC-AQ1
2021-05-07 05:00:00,0.36,5.54,31.97,1.17,DCC-AQ1
2021-05-07 06:00:00,0.38,12.49,38.21,1.38,DCC-AQ1
2021-05-07 07:00:00,0.36,11.7,28.7,1.46,DCC-AQ1
2021-05-07 08:00:00,0.36,8.72,20.39,1.73,DCC-AQ1
2021-05-07 09:00:00,0.35,4.82,10.69,2.45,DCC-AQ1
2021-05-07 10:00:00,,3.65,8.3,2.8,DCC-AQ1
2021-05-07 11:00:00,0.25,4.07,9.68,2.51,DCC-AQ1
2021-05-07 12:00:00,0.28,6.74,16.59,2.9,DCC-AQ1
2021-05-07 13:00:00,0.3,3.34,7.75,1.88,DCC-AQ1
2021-05-07 14:00:00,0.32,3.68,9.75,1.76,DCC-AQ1
2021-05-07 15:00:00,0.32,3.23,8.79,1.65,DCC-AQ1
2021-05-07 16:00:00,0.34,2.52,8.64,1.64,DCC-AQ1
2021-05-07 17:00:00,0.35,2.36,9.16,1.91,DCC-AQ1
2021-05-07 18:00:00,0.34,1.46,7.98,1.73,DCC-AQ1
2021-05-07 19:00:00,0.35,1.02,9.08,1.81,DCC-AQ1
2021-05-07 20:00:00,0.35,0.87,10.43,1.48,DCC-AQ1
2021-05-07 21:00:00,0.33,0.62,9.56,1.35,DCC-AQ1
2021-05-07 22:00:00,0.26,0.71,3.65,1.74,DCC-AQ1
2021-05-07 23:00:00,0.24,0.68,0.78,1.86,DCC-AQ1
2021-05-08 00:00:00,0.24,0.54,-0.81,1.74,DCC-AQ1
2021-05-08 01:00:00,0.24,0.3,-0.47,1.98,DCC-AQ1
2021-05-08 02:00:00,0.28,0.48,-0.06,1.74,DCC-AQ1
2021-05-08 03:00:00,0.24,0.54,-0.3,2.03,DCC-AQ1
2021-05-08 04:00:00,0.25,0.8,0.67,2.26,DCC-AQ1
2021-05-08 05:00:00,0.35,1.17,4.71,2.45,DCC-AQ1
2021-05-08 06:00:00,0.35,0.89,4.09,2.48,DCC-AQ1
2021-05-08 07:00:00,0.35,1.88,12.01,2.41,DCC-AQ1
2021-05-08 08:00:00,0.35,6.33,25.68,2.93,DCC-AQ1
2021-05-08 09:00:00,0.28,7.32,18.98,3.14,DCC-AQ1
2021-05-08 10:00:00,0.24,3.18,7.36,2.99,DCC-AQ1
