datetime,no2,pm1,pm10,pm2_5,pm4,so2,serial_number
2021-04-30 22:00:00,38.3,16.72,23.39,18.55,20.18,2.93,DCC-AQ17
2021-04-30 23:00:00,43.54,15.76,21.71,17.63,19.17,2.83,DCC-AQ17
2021-05-01 00:00:00,35.56,14.47,22.97,16.47,18.29,2.59,DCC-AQ17
2021-05-01 01:00:00,21.63,12.33,15.71,13.46,14.45,2.22,DCC-AQ17
2021-05-01 02:00:00,29.98,15.71,20.71,17.16,18.49,2.55,DCC-AQ17
2021-05-01 03:00:00,27.59,15.19,19.72,16.63,17.81,2.43,DCC-AQ17
2021-05-01 04:00:00,25.07,17.82,22.13,19.26,20.4,2.25,DCC-AQ17
2021-05-01 05:00:00,26.77,15.41,20.35,16.84,18.18,2.54,DCC-AQ17
2021-05-01 06:00:00,30.36,14.11,23.55,16.03,17.63,2.87,DCC-AQ17
2021-05-01 07:00:00,39.36,12.82,30.13,15.88,18.45,4.12,DCC-AQ17
2021-05-01 08:00:00,22.13,7.4,18.38,9.52,11.31,3.83,DCC-AQ17
2021-05-01 09:00:00,28.04,5.13,13.9,7.2,9.19,3.94,DCC-AQ17
2021-05-01 10:00:00,35.34,4.64,19.92,7.56,10.4,4.31,DCC-AQ17
2021-05-01 11:00:00,31.46,4.93,17.51,7.45,9.95,3.46,DCC-AQ17
2021-05-01 12:00:00,28.15,6.27,20.8,9.06,11.63,3.2,DCC-AQ17
2021-05-01 13:00:00,20.58,4.55,17.99,7.12,9.31,3.6,DCC-AQ17
2021-05-01 14:00:00,22.68,4.17,12.57,6.13,7.86,3.29,DCC-AQ17
2021-05-01 15:00:00,13.16,3.99,10.87,5.68,7.03,2.83,DCC-AQ17
2021-05-01 16:00:00,12.82,4.03,10.44,5.77,7.3,3.41,DCC-AQ17
2021-05-01 17:00:00,9.28,3.91,9.95,5.62,7.21,3.07,DCC-AQ17
2021-05-01 18:00:00,10.7,4.12,12.12,5.99,7.73,2.39,DCC-AQ17
2021-05-01 19:00:00,12.43,5.9,10.67,7.37,8.71,2.58,DCC-AQ17
2021-05-01 20:00:00,14.81,8.7,12.73,10.16,11.42,2.48,DCC-AQ17
2021-05-01 21:00:00,18.74,8.98,12.83,10.35,11.47,2.5,DCC-AQ17
2021-05-01 22:00:00,11.24,8.12,11.32,9.18,10.06,2.75,DCC-AQ17
2021-05-01 23:00:00,7.43,7.06,9.45,7.93,8.65,2.65,DCC-AQ17
2021-05-04 01:00:00,5.16,0.96,2.36,1.57,2.21,2.84,DCC-AQ17
2021-05-04 02:00:00,5.18,1.16,3.94,2.02,2.74,2.87,DCC-AQ17
2021-05-04 03:00:00,6.72,1.32,3.74,2.21,2.96,2.91,DCC-AQ17
2021-05-04 04:00:00,8.28,1.79,7.14,3.34,4.67,2.52,DCC-AQ17
2021-05-04 05:00:00,11.57,1.96,7.97,3.93,5.74,2.58,DCC-AQ17
2021-05-04 06:00:00,15.37,1.78,8.63,3.83,5.78,2.96,DCC-AQ17
2021-05-04 07:00:00,17.59,1.68,11.12,3.83,5.95,3.41,DCC-AQ17
2021-05-04 08:00:00,19.04,1.88,15.8,4.56,6.86,3.48,DCC-AQ17
2021-05-04 09:00:00,14.11,2.07,15.68,4.37,6.36,3.26,DCC-AQ17
2021-05-04 10:00:00,16.74,1.51,10.0,3.16,4.74,2.86,DCC-AQ17
2021-05-04 11:00:00,13.56,1.07,9.59,2.39,3.49,3.09,DCC-AQ17
2021-05-04 12:00:00,16.49,1.22,10.3,2.63,3.83,2.93,DCC-AQ17
2021-05-04 13:00:00,17.31,1.11,10.87,2.62,4.01,2.84,DCC-AQ17
2021-05-04 14:00:00,14.88,1.42,9.35,2.89,4.28,2.89,DCC-AQ17
2021-05-04 15:00:00,13.34,1.94,15.15,4.12,6.01,2.83,DCC-AQ17
2021-05-04 16:00:00,18.81,3.55,11.36,5.44,7.14,2.77,DCC-AQ17
2021-05-04 17:00:00,12.37,2.96,12.6,5.29,7.39,2.85,DCC-AQ17
2021-05-04 18:00:00,8.43,1.46,4.25,2.21,2.91,2.5,DCC-AQ17
2021-05-04 19:00:00,7.58,1.72,3.44,2.24,2.71,2.68,DCC-AQ17
2021-05-04 20:00:00,10.37,2.06,3.55,2.61,3.08,2.75,DCC-AQ17
2021-05-04 21:00:00,13.49,3.33,5.66,4.15,4.83,2.65,DCC-AQ17
2021-05-04 22:00:00,14.31,6.67,9.66,7.71,8.62,2.52,DCC-AQ17
2021-05-04 23:00:00,12.24,4.25,7.14,5.23,6.07,2.31,DCC-AQ17
2021-05-05 00:00:00,8.46,2.26,4.31,2.98,3.63,2.66,DCC-AQ17
2021-05-05 01:00:00,7.69,1.62,2.82,2.06,2.48,2.57,DCC-AQ17
2021-05-05 02:00:00,7.71,1.53,3.03,2.06,2.51,2.6,DCC-AQ17
2021-05-05 03:00:00,6.82,2.08,4.37,2.69,3.21,2.57,DCC-AQ17
2021-05-05 04:00:00,10.53,2.14,3.75,2.69,3.22,2.49,DCC-AQ17
2021-05-05 05:00:00,17.01,1.55,3.72,2.2,2.83,2.47,DCC-AQ17
2021-05-05 06:00:00,26.56,1.38,6.56,2.41,3.41,2.89,DCC-AQ17
2021-05-05 07:00:00,23.72,1.53,7.65,2.69,3.76,3.14,DCC-AQ17
2021-05-05 08:00:00,17.27,1.71,9.39,3.2,4.53,3.37,DCC-AQ17
2021-05-05 09:00:00,16.88,1.89,10.57,3.58,5.26,3.23,DCC-AQ17
2021-05-05 10:00:00,20.86,1.63,12.28,3.31,4.69,3.17,DCC-AQ17
2021-05-05 11:00:00,23.22,1.76,12.78,3.57,5.47,2.8,DCC-AQ17
2021-05-05 12:00:00,14.25,1.82,6.26,2.7,3.51,2.97,DCC-AQ17
2021-05-05 13:00:00,26.18,1.89,10.86,3.48,5.01,3.26,DCC-AQ17
2021-05-05 14:00:00,25.04,1.41,4.61,2.04,2.53,2.92,DCC-AQ17
2021-05-05 15:00:00,34.62,1.85,6.97,2.93,3.96,3.63,DCC-AQ17
2021-05-05 16:00:00,24.5,1.92,5.17,2.66,3.31,2.77,DCC-AQ17
2021-05-05 17:00:00,16.12,2.28,5.6,3.08,3.89,2.81,DCC-AQ17
2021-05-05 18:00:00,24.2,2.01,3.87,2.56,3.09,2.84,DCC-AQ17
2021-05-05 19:00:00,12.53,3.74,5.0,4.21,4.6,2.77,DCC-AQ17
2021-05-05 20:00:00,20.77,6.91,8.12,7.43,7.89,2.65,DCC-AQ17
2021-05-05 21:00:00,34.79,9.12,11.31,9.89,10.54,2.73,DCC-AQ17
2021-05-05 22:00:00,50.95,14.5,17.33,15.55,16.36,2.72,DCC-AQ17
2021-05-05 23:00:00,43.56,11.68,14.87,12.6,13.32,2.75,DCC-AQ17
2021-05-06 00:00:00,26.86,8.05,10.15,8.81,9.45,2.75,DCC-AQ17
2021-05-06 01:00:00,17.15,5.41,8.03,6.31,7.13,2.72,DCC-AQ17
