datetime,no2,o3,pm10,pm2_5,so2,serial_number
2021-04-30 22:00:00,43.1,34.62,31.42,13.87,2.65,DCC-AQ22
2021-04-30 23:00:00,48.15,20.62,41.56,24.11,3.13,DCC-AQ22
2021-05-01 00:00:00,37.4,30.36,38.87,21.25,2.25,DCC-AQ22
2021-05-01 01:00:00,16.71,51.76,26.72,9.26,1.16,DCC-AQ22
2021-05-01 02:00:00,30.56,31.06,20.24,2.31,1.02,DCC-AQ22
2021-05-01 03:00:00,29.06,35.56,24.71,5.5,0.98,DCC-AQ22
2021-05-01 04:00:00,15.05,49.04,17.79,-2.0,0.91,DCC-AQ22
2021-05-01 05:00:00,20.51,43.76,12.2,-7.89,0.77,DCC-AQ22
2021-05-01 06:00:00,37.74,34.3,13.08,-8.21,1.34,DCC-AQ22
2021-05-01 07:00:00,26.39,55.18,15.71,-7.4,1.54,DCC-AQ22
2021-05-01 08:00:00,16.98,73.94,10.13,-14.16,1.26,DCC-AQ22
2021-05-01 09:00:00,13.18,79.62,6.62,-15.74,0.98,DCC-AQ22
2021-05-01 10:00:00,14.71,84.35,9.35,-11.29,0.92,DCC-AQ22
2021-05-01 11:00:00,24.42,82.61,9.87,-9.4,1.11,DCC-AQ22
2021-05-01 12:00:00,17.11,91.01,14.23,-4.67,0.62,DCC-AQ22
2021-05-01 13:00:00,14.87,93.33,13.25,-5.8,0.67,DCC-AQ22
2021-05-01 14:00:00,11.42,97.11,12.23,-7.99,0.96,DCC-AQ22
2021-05-01 15:00:00,16.7,96.22,13.58,-5.56,0.9,DCC-AQ22
2021-05-01 16:00:00,12.76,100.24,19.37,1.13,0.81,DCC-AQ22
2021-05-01 17:00:00,15.48,96.67,17.31,-0.66,1.23,DCC-AQ22
2021-05-01 18:00:00,17.83,94.25,22.76,4.75,1.16,DCC-AQ22
2021-05-01 19:00:00,20.73,87.42,21.14,3.03,1.51,DCC-AQ22
