datetime,pm1,pm10,pm2_5,pm4,serial_number
2021-04-30 22:00:00,10.75,20.01,12.98,14.94,DCC-AQ4
2021-04-30 23:00:00,9.33,16.43,11.24,13.0,DCC-AQ4
2021-05-01 00:00:00,8.84,15.27,10.52,12.09,DCC-AQ4
2021-05-01 01:00:00,14.39,19.51,15.9,17.2,DCC-AQ4
2021-05-01 02:00:00,10.69,17.75,12.4,13.98,DCC-AQ4
2021-05-01 03:00:00,9.22,13.45,10.52,11.75,DCC-AQ4
2021-05-01 04:00:00,10.54,15.07,11.79,12.82,DCC-AQ4
2021-05-01 05:00:00,11.13,16.92,12.6,13.94,DCC-AQ4
2021-05-01 06:00:00,11.36,23.86,13.75,16.0,DCC-AQ4
2021-05-01 07:00:00,12.71,22.5,14.75,16.54,DCC-AQ4
2021-05-01 08:00:00,7.85,14.98,9.78,11.5,DCC-AQ4
2021-05-01 09:00:00,6.64,13.58,8.41,9.87,DCC-AQ4
2021-05-01 10:00:00,5.89,12.17,7.6,9.24,DCC-AQ4
2021-05-01 11:00:00,3.96,8.89,5.37,6.62,DCC-AQ4
2021-05-01 12:00:00,3.51,8.17,4.87,6.06,DCC-AQ4
2021-05-01 13:00:00,3.87,8.63,5.36,6.71,DCC-AQ4
2021-05-01 14:00:00,3.45,8.21,4.84,6.16,DCC-AQ4
2021-05-01 15:00:00,3.79,9.28,5.26,6.66,DCC-AQ4
2021-05-01 16:00:00,3.93,8.82,5.36,6.67,DCC-AQ4
2021-05-01 17:00:00,4.05,9.06,5.39,6.58,DCC-AQ4
2021-05-01 18:00:00,4.83,11.09,6.43,7.79,DCC-AQ4
2021-05-01 19:00:00,7.31,12.67,8.98,10.47,DCC-AQ4
2021-05-01 20:00:00,13.09,21.53,15.52,17.51,DCC-AQ4
2021-05-01 21:00:00,14.05,19.58,15.93,17.64,DCC-AQ4
2021-05-01 22:00:00,11.8,17.54,13.37,14.67,DCC-AQ4
2021-05-01 23:00:00,7.53,10.98,8.47,9.18,DCC-AQ4
2021-05-02 00:00:00,6.71,8.7,7.35,7.88,DCC-AQ4
2021-05-02 01:00:00,7.02,9.07,7.67,8.15,DCC-AQ4
2021-05-02 02:00:00,7.74,9.81,8.37,8.9,DCC-AQ4
2021-05-02 03:00:00,7.9,9.87,8.53,9.11,DCC-AQ4
2021-05-02 04:00:00,8.2,9.73,8.74,9.19,DCC-AQ4
2021-05-02 05:00:00,10.15,12.46,10.93,11.63,DCC-AQ4
2021-05-02 06:00:00,9.17,11.34,9.88,10.53,DCC-AQ4
2021-05-02 07:00:00,9.06,11.38,9.82,10.43,DCC-AQ4
2021-05-02 08:00:00,9.04,11.3,9.8,10.47,DCC-AQ4
2021-05-02 09:00:00,8.21,11.11,9.08,9.8,DCC-AQ4
2021-05-02 10:00:00,5.64,8.34,6.44,7.15,DCC-AQ4
2021-05-02 11:00:00,7.2,11.25,8.15,9.04,DCC-AQ4
2021-05-02 12:00:00,3.96,6.63,4.61,5.21,DCC-AQ4
2021-05-02 13:00:00,3.99,6.7,4.61,5.15,DCC-AQ4
2021-05-02 14:00:00,4.06,7.28,4.69,5.23,DCC-AQ4
2021-05-02 15:00:00,3.27,5.57,3.81,4.26,DCC-AQ4
2021-05-02 16:00:00,6.32,8.85,7.03,7.72,DCC-AQ4
2021-05-02 17:00:00,3.7,6.81,4.42,5.18,DCC-AQ4
2021-05-02 18:00:00,4.21,7.06,4.83,5.33,DCC-AQ4
2021-05-02 19:00:00,5.84,9.94,6.73,7.59,DCC-AQ4
2021-05-02 20:00:00,10.89,16.86,12.48,13.6,DCC-AQ4
2021-05-02 21:00:00,11.17,15.41,12.35,13.5,DCC-AQ4
2021-05-02 22:00:00,11.08,16.66,12.35,13.33,DCC-AQ4
2021-05-02 23:00:00,8.42,12.18,9.4,10.28,DCC-AQ4
2021-05-03 00:00:00,8.22,11.64,9.06,9.68,DCC-AQ4
2021-05-03 01:00:00,8.86,11.92,9.76,10.4,DCC-AQ4
2021-05-03 02:00:00,5.32,7.86,6.03,6.68,DCC-AQ4
2021-05-03 03:00:00,2.62,4.07,3.09,3.58,DCC-AQ4
2021-05-03 04:00:00,1.93,3.86,2.44,2.92,DCC-AQ4
2021-05-03 05:00:00,1.44,2.49,1.84,2.26,DCC-AQ4
2021-05-03 06:00:00,1.81,3.81,2.35,2.88,DCC-AQ4
2021-05-03 07:00:00,1.46,2.82,1.89,2.31,DCC-AQ4
2021-05-03 08:00:00,0.73,1.54,1.02,1.3,DCC-AQ4
2021-05-03 09:00:00,0.87,3.2,1.42,1.84,DCC-AQ4
2021-05-03 10:00:00,0.55,1.74,0.89,1.18,DCC-AQ4
2021-05-03 11:00:00,0.36,1.16,0.56,0.75,DCC-AQ4
2021-05-03 12:00:00,0.84,2.27,1.26,1.7,DCC-AQ4
2021-05-03 13:00:00,2.42,8.93,4.25,6.03,DCC-AQ4
2021-05-03 14:00:00,3.73,15.41,7.09,10.16,DCC-AQ4
2021-05-03 15:00:00,4.02,12.68,6.7,9.03,DCC-AQ4
2021-05-03 16:00:00,3.68,11.37,6.32,8.79,DCC-AQ4
2021-05-03 17:00:00,3.53,9.81,5.8,7.74,DCC-AQ4
2021-05-03 18:00:00,2.25,6.65,3.83,5.22,DCC-AQ4
2021-05-03 19:00:00,2.86,6.54,4.34,5.68,DCC-AQ4
2021-05-03 20:00:00,1.84,3.56,2.34,2.73,DCC-AQ4
2021-05-03 21:00:00,2.16,3.82,2.71,3.14,DCC-AQ4
2021-05-03 22:00:00,1.73,3.85,2.32,2.81,DCC-AQ4
2021-05-03 23:00:00,1.07,2.69,1.5,1.9,DCC-AQ4
2021-05-04 00:00:00,0.73,2.72,1.25,1.75,DCC-AQ4
2021-05-04 01:00:00,0.84,3.61,1.57,2.14,DCC-AQ4
2021-05-04 02:00:00,1.09,3.65,1.96,2.72,DCC-AQ4
2021-05-04 03:00:00,1.2,3.88,2.11,2.88,DCC-AQ4
2021-05-04 04:00:00,1.69,6.97,3.43,5.11,DCC-AQ4
2021-05-04 05:00:00,1.75,8.73,3.86,5.95,DCC-AQ4
2021-05-04 06:00:00,1.63,8.01,3.61,5.65,DCC-AQ4
2021-05-04 07:00:00,1.42,8.18,3.24,5.03,DCC-AQ4
2021-05-04 08:00:00,1.58,10.7,3.77,5.89,DCC-AQ4
2021-05-04 09:00:00,1.14,11.37,2.91,4.46,DCC-AQ4
2021-05-04 10:00:00,1.13,17.41,3.59,5.84,DCC-AQ4
2021-05-04 11:00:00,1.24,7.33,2.34,3.4,DCC-AQ4
2021-05-04 12:00:00,1.39,6.75,2.37,3.25,DCC-AQ4
2021-05-04 13:00:00,0.94,6.51,1.98,2.91,DCC-AQ4
