datetime,no,no2,pm1,pm10,pm2_5,pm4,serial_number
2021-04-30 22:00:00,13.82,47.64,23.87,40.35,28.03,31.61,DCC-AQ6
2021-04-30 23:00:00,8.39,55.49,25.47,37.34,28.47,31.3,DCC-AQ6
2021-05-01 00:00:00,3.42,36.88,22.17,30.41,24.38,26.24,DCC-AQ6
2021-05-01 01:00:00,1.65,29.44,19.7,26.31,21.53,23.17,DCC-AQ6
2021-05-01 02:00:00,0.8,29.1,21.84,26.74,23.6,24.98,DCC-AQ6
2021-05-01 03:00:00,0.37,22.35,19.74,24.45,21.31,22.55,DCC-AQ6
2021-05-01 04:00:00,5.23,29.17,18.12,25.74,20.04,21.75,DCC-AQ6
2021-05-01 05:00:00,14.43,31.15,17.42,42.47,21.44,24.9,DCC-AQ6
2021-05-01 06:00:00,17.49,25.93,14.1,29.35,17.14,20.08,DCC-AQ6
2021-05-01 07:00:00,14.76,24.86,11.93,38.64,16.68,21.51,DCC-AQ6
2021-05-01 08:00:00,5.88,16.53,7.97,18.41,10.09,11.94,DCC-AQ6
2021-05-01 09:00:00,7.13,10.71,4.61,10.63,6.18,7.66,DCC-AQ6
2021-05-01 10:00:00,8.45,15.4,4.27,13.25,6.16,7.82,DCC-AQ6
2021-05-01 11:00:00,5.14,20.92,4.36,11.07,6.01,7.53,DCC-AQ6
2021-05-01 12:00:00,3.46,19.12,3.25,7.9,4.56,5.74,DCC-AQ6
2021-05-01 13:00:00,3.7,12.03,3.41,7.39,4.66,5.74,DCC-AQ6
2021-05-01 14:00:00,2.56,10.32,3.44,7.92,4.72,5.9,DCC-AQ6
2021-05-01 15:00:00,3.03,11.7,4.08,8.58,5.5,6.73,DCC-AQ6
2021-05-01 16:00:00,3.77,13.71,3.96,8.22,5.33,6.53,DCC-AQ6
2021-05-01 17:00:00,1.75,10.31,3.95,9.43,5.27,6.3,DCC-AQ6
2021-05-01 18:00:00,1.7,12.1,5.62,9.73,6.93,8.07,DCC-AQ6
2021-05-01 19:00:00,1.75,12.24,8.37,12.24,9.75,10.92,DCC-AQ6
2021-05-01 20:00:00,1.05,15.66,13.36,18.69,15.13,16.54,DCC-AQ6
2021-05-01 21:00:00,0.7,17.23,13.89,17.91,15.31,16.52,DCC-AQ6
2021-05-01 22:00:00,0.16,9.1,8.42,12.28,9.75,10.63,DCC-AQ6
2021-05-01 23:00:00,0.15,4.74,7.93,11.13,8.8,9.5,DCC-AQ6
2021-05-02 00:00:00,0.2,3.5,7.98,9.81,8.67,9.28,DCC-AQ6
2021-05-02 01:00:00,-0.17,3.86,7.94,9.6,8.61,9.19,DCC-AQ6
2021-05-02 02:00:00,0.21,6.05,8.03,10.43,8.72,9.28,DCC-AQ6
2021-05-02 03:00:00,1.44,9.85,9.38,12.5,10.26,11.0,DCC-AQ6
2021-05-02 04:00:00,10.46,23.73,9.89,16.25,11.15,12.23,DCC-AQ6
2021-05-02 05:00:00,6.41,19.48,10.44,20.74,12.26,13.95,DCC-AQ6
2021-05-02 06:00:00,5.39,15.83,10.08,17.38,11.53,12.97,DCC-AQ6
2021-05-02 07:00:00,3.02,8.5,9.33,14.81,10.44,11.39,DCC-AQ6
2021-05-02 08:00:00,4.31,7.72,7.96,14.03,9.27,10.51,DCC-AQ6
