datetime,no2,o3,serial_number,pm1,pm10,pm2_5,pm4
2021-04-30 22:00:00,59.49,25.9,DCC-AQ69,,,,
2021-04-30 23:00:00,62.9,11.81,DCC-AQ69,,,,
2021-05-01 00:00:00,53.96,16.11,DCC-AQ69,,,,
2021-05-01 01:00:00,40.12,23.58,DCC-AQ69,,,,
2021-05-01 02:00:00,33.4,27.75,DCC-AQ69,,,,
2021-05-01 03:00:00,35.07,23.74,DCC-AQ69,,,,
2021-05-01 04:00:00,36.64,26.61,DCC-AQ69,,,,
2021-05-01 05:00:00,52.93,18.69,DCC-AQ69,,,,
2021-05-01 06:00:00,66.23,16.48,DCC-AQ69,,,,
2021-05-01 07:00:00,57.77,20.5,DCC-AQ69,,,,
2021-05-01 08:00:00,44.98,47.48,DCC-AQ69,,,,
2021-05-01 09:00:00,32.56,67.0,DCC-AQ69,,,,
2021-05-01 10:00:00,32.48,64.85,DCC-AQ69,,,,
2021-05-01 11:00:00,51.67,51.16,DCC-AQ69,,,,
2021-05-01 12:00:00,49.94,50.56,DCC-AQ69,,,,
2021-05-01 13:00:00,45.92,57.93,DCC-AQ69,,,,
2021-05-01 14:00:00,33.11,73.09,DCC-AQ69,,,,
2021-05-01 15:00:00,37.47,71.13,DCC-AQ69,,,,
2021-05-01 16:00:00,28.3,78.27,DCC-AQ69,,,,
2021-05-01 17:00:00,26.38,78.82,DCC-AQ69,,,,
2021-05-01 18:00:00,45.11,60.32,DCC-AQ69,,,,
2021-05-01 19:00:00,45.97,54.6,DCC-AQ69,,,,
2021-05-01 20:00:00,41.08,56.01,DCC-AQ69,,,,
2021-05-01 21:00:00,47.53,42.57,DCC-AQ69,,,,
2021-05-01 22:00:00,27.11,59.12,DCC-AQ69,,,,
2021-05-01 23:00:00,15.13,67.9,DCC-AQ69,,,,
2021-05-04 01:00:00,4.03,72.74,DCC-AQ69,,,,
2021-05-04 02:00:00,4.87,72.7,DCC-AQ69,,,,
2021-05-04 03:00:00,5.35,73.84,DCC-AQ69,,,,
2021-05-04 04:00:00,13.17,68.29,DCC-AQ69,,,,
2021-05-04 05:00:00,48.15,38.01,DCC-AQ69,,,,
2021-05-04 06:00:00,53.47,33.12,DCC-AQ69,,,,
2021-05-04 07:00:00,47.38,38.15,DCC-AQ69,,,,
2021-05-04 08:00:00,34.52,51.95,DCC-AQ69,,,,
2021-05-04 09:00:00,26.55,55.69,DCC-AQ69,,,,
2021-05-04 10:00:00,27.97,52.75,DCC-AQ69,,,,
2021-05-04 11:00:00,32.76,53.25,DCC-AQ69,,,,
2021-05-04 12:00:00,27.31,56.06,DCC-AQ69,,,,
2021-05-04 13:00:00,27.4,56.81,DCC-AQ69,,,,
2021-05-04 14:00:00,40.49,43.03,DCC-AQ69,,,,
2021-05-04 15:00:00,37.75,42.34,DCC-AQ69,,,,
2021-05-04 16:00:00,66.38,28.02,DCC-AQ69,,,,
2021-05-04 17:00:00,38.8,38.58,DCC-AQ69,,,,
2021-05-04 18:00:00,27.73,50.63,DCC-AQ69,,,,
2021-05-04 19:00:00,28.46,47.22,DCC-AQ69,,,,
2021-05-04 20:00:00,25.14,41.71,DCC-AQ69,,,,
2021-05-04 21:00:00,32.47,31.1,DCC-AQ69,,,,
2021-05-04 22:00:00,31.84,31.09,DCC-AQ69,,,,
2021-05-04 23:00:00,22.6,40.11,DCC-AQ69,,,,
2021-05-05 00:00:00,9.7,54.87,DCC-AQ69,,,,
2021-05-05 01:00:00,6.92,62.38,DCC-AQ69,,,,
2021-05-05 02:00:00,6.58,63.21,DCC-AQ69,,,,
2021-05-05 03:00:00,10.09,54.09,DCC-AQ69,,,,
2021-05-05 04:00:00,30.13,32.23,DCC-AQ69,,,,
2021-05-05 05:00:00,54.68,15.38,DCC-AQ69,,,,
2021-05-05 06:00:00,58.07,13.3,DCC-AQ69,,,,
2021-05-05 07:00:00,56.69,12.59,DCC-AQ69,,,,
2021-05-05 08:00:00,55.96,19.57,DCC-AQ69,,,,
2021-05-05 09:00:00,41.08,36.55,DCC-AQ69,,,,
2021-05-05 10:00:00,42.58,40.11,DCC-AQ69,,,,
2021-05-05 11:00:00,45.68,35.26,DCC-AQ69,,,,
2021-05-05 12:00:00,45.6,36.74,DCC-AQ69,,,,
2021-05-05 13:00:00,33.47,46.17,DCC-AQ69,,,,
2021-05-05 14:00:00,27.89,52.66,DCC-AQ69,,,,
2021-05-05 15:00:00,42.09,38.42,DCC-AQ69,,,,
2021-05-05 16:00:00,52.31,28.29,DCC-AQ69,,,,
2021-05-05 17:00:00,54.45,27.52,DCC-AQ69,,,,
2021-05-05 18:00:00,30.06,50.1,DCC-AQ69,,,,
2021-05-05 19:00:00,42.46,42.52,DCC-AQ69,,,,
2021-05-05 20:00:00,55.14,26.55,DCC-AQ69,,,,
2021-05-05 21:00:00,66.71,8.13,DCC-AQ69,,,,
2021-05-05 22:00:00,63.51,4.34,DCC-AQ69,,,,
2021-05-05 23:00:00,54.02,6.3,DCC-AQ69,,,,
2021-05-06 00:00:00,29.23,24.92,DCC-AQ69,,,,
2021-05-06 01:00:00,19.8,38.02,DCC-AQ69,,,,
2021-05-06 02:00:00,20.26,37.73,DCC-AQ69,,,,
2021-05-06 03:00:00,20.86,36.14,DCC-AQ69,,,,
2021-05-06 04:00:00,32.32,29.32,DCC-AQ69,,,,
