datetime,pm1,pm2_5,serial_number,pm10,tsp
2021-11-30 00:00:00,0.02,0.03,TNO4323,,
2021-11-30 01:00:00,0.01,0.02,TNO4323,,
2021-11-30 02:00:00,0.01,0.02,TNO4323,,
2021-11-30 03:00:00,0.01,0.01,TNO4323,,
2021-11-30 04:00:00,0.01,0.02,TNO4323,,
2021-11-30 05:00:00,0.03,0.05,TNO4323,,
2021-11-30 06:00:00,0.03,0.05,TNO4323,,
2021-11-30 07:00:00,0.06,0.08,TNO4323,0.03,0.03
2021-11-30 08:00:00,0.07,0.1,TNO4323,,
2021-11-30 09:00:00,0.05,0.07,TNO4323,,
2021-11-30 10:00:00,0.03,0.04,TNO4323,,
2021-11-30 11:00:00,0.02,0.04,TNO4323,,
2021-11-30 12:00:00,0.02,0.04,TNO4323,,
2021-11-30 13:00:00,0.03,0.05,TNO4323,,
2021-11-30 14:00:00,0.03,0.05,TNO4323,,
2021-11-30 15:00:00,0.02,0.04,TNO4323,,
2021-11-30 16:00:00,0.04,0.06,TNO4323,,
2021-11-30 17:00:00,0.04,0.06,TNO4323,,
2021-11-30 18:00:00,0.01,0.02,TNO4323,,
2021-11-30 21:00:00,0.01,0.01,TNO4323,,
2021-11-30 22:00:00,0.07,0.14,TNO4323,0.1,0.1
2021-11-30 23:00:00,0.07,0.15,TNO4323,0.1,0.13
2021-12-01 00:00:00,0.05,0.13,TNO4323,0.1,0.1
2021-12-01 01:00:00,0.07,0.17,TNO4323,0.1,0.13
2021-12-01 02:00:00,0.12,0.27,TNO4323,0.2,0.28
2021-12-01 03:00:00,0.19,0.42,TNO4323,0.35,0.43
2021-12-01 04:00:00,0.29,0.64,TNO4323,0.55,0.67
2021-12-01 05:00:00,0.28,0.59,TNO4323,0.5,0.63
2021-12-01 06:00:00,0.26,0.54,TNO4323,0.45,0.55
2021-12-01 07:00:00,0.33,0.65,TNO4323,0.58,0.67
2021-12-01 08:00:00,0.32,0.65,TNO4323,0.55,0.65
2021-12-01 09:00:00,0.31,0.64,TNO4323,0.58,0.65
2021-12-01 10:00:00,0.52,1.08,TNO4323,1.03,1.17
2021-12-01 11:00:00,0.54,1.1,TNO4323,1.0,1.18
2021-12-01 12:00:00,0.43,0.91,TNO4323,0.83,1.0
2021-12-01 13:00:00,0.24,0.51,TNO4323,0.43,0.5
2021-12-01 14:00:00,0.18,0.36,TNO4323,0.28,0.35
2021-12-01 15:00:00,0.14,0.29,TNO4323,0.23,0.28
2021-12-01 16:00:00,0.12,0.22,TNO4323,0.13,0.18
2021-12-01 17:00:00,0.16,0.28,TNO4323,0.18,0.25
2021-12-01 18:00:00,0.21,0.35,TNO4323,0.28,0.3
2021-12-01 19:00:00,0.26,0.45,TNO4323,0.38,0.43
2021-12-01 20:00:00,0.31,0.5,TNO4323,0.4,0.48
2021-12-01 21:00:00,0.39,0.6,TNO4323,0.53,0.6
2021-12-01 22:00:00,0.37,0.59,TNO4323,0.5,0.58
2021-12-01 23:00:00,0.34,0.57,TNO4323,0.48,0.55
2021-12-02 00:00:00,0.27,0.47,TNO4323,0.4,0.4
2021-12-02 01:00:00,0.26,0.45,TNO4323,0.4,0.4
2021-12-02 02:00:00,0.23,0.39,TNO4323,0.33,0.35
2021-12-02 03:00:00,0.18,0.3,TNO4323,0.2,0.25
2021-12-02 04:00:00,0.16,0.27,TNO4323,0.2,0.2
2021-12-02 05:00:00,0.13,0.24,TNO4323,0.2,0.2
2021-12-02 06:00:00,0.14,0.25,TNO4323,0.2,0.2
2021-12-02 07:00:00,0.18,0.32,TNO4323,0.23,0.28
2021-12-02 08:00:00,0.22,0.38,TNO4323,0.3,0.33
2021-12-02 09:00:00,0.26,0.4,TNO4323,0.33,0.35
2021-12-02 10:00:00,0.29,0.45,TNO4323,0.35,0.4
2021-12-02 11:00:00,0.23,0.45,TNO4323,0.38,0.48
2021-12-02 12:00:00,0.29,0.56,TNO4323,0.48,0.58
2021-12-02 13:00:00,0.28,0.54,TNO4323,0.45,0.53
2021-12-02 14:00:00,0.29,0.55,TNO4323,0.5,0.55
2021-12-02 15:00:00,0.31,0.59,TNO4323,0.53,0.63
2021-12-02 16:00:00,0.34,0.59,TNO4323,0.5,0.57
