datetime,pm1,pm10,pm2_5,tsp,serial_number
2021-04-30 22:00:00,2.56,9.15,5.01,14.42,TNO4488
2021-04-30 23:00:00,3.03,10.98,5.99,17.35,TNO4488
2021-05-01 00:00:00,3.5,9.92,6.09,14.8,TNO4488
2021-05-01 01:00:00,2.6,7.92,4.74,11.8,TNO4488
2021-05-01 02:00:00,1.79,4.85,3.15,6.73,TNO4488
2021-05-01 03:00:00,2.3,6.42,4.11,9.02,TNO4488
2021-05-01 04:00:00,2.75,7.18,4.66,10.33,TNO4488
2021-05-01 05:00:00,2.29,5.8,3.95,7.8,TNO4488
2021-05-01 06:00:00,2.07,5.9,3.75,8.0,TNO4488
2021-05-01 07:00:00,2.33,7.38,4.42,10.67,TNO4488
2021-05-01 08:00:00,4.69,14.67,9.19,20.95,TNO4488
2021-05-01 09:00:00,5.24,14.3,10.1,19.6,TNO4488
2021-05-01 10:00:00,3.82,10.78,7.49,15.47,TNO4488
2021-05-01 11:00:00,2.31,8.0,4.78,11.6,TNO4488
2021-05-01 12:00:00,2.25,8.35,4.79,12.63,TNO4488
2021-05-01 13:00:00,2.49,8.9,5.06,13.02,TNO4488
2021-05-01 14:00:00,2.42,8.75,4.91,13.22,TNO4488
2021-05-01 15:00:00,2.25,7.95,4.62,12.28,TNO4488
2021-05-01 16:00:00,2.21,8.18,4.62,11.78,TNO4488
2021-05-01 17:00:00,2.2,7.78,4.47,11.15,TNO4488
2021-05-01 18:00:00,2.19,7.95,4.5,11.9,TNO4488
2021-05-01 19:00:00,2.19,7.85,4.49,11.95,TNO4488
2021-05-01 20:00:00,2.33,8.2,4.73,12.1,TNO4488
2021-05-01 21:00:00,2.47,8.02,4.84,11.17,TNO4488
2021-05-01 22:00:00,2.35,7.73,4.6,11.25,TNO4488
2021-05-01 23:00:00,2.04,6.67,4.01,9.85,TNO4488
2021-05-02 00:00:00,1.51,4.1,2.69,6.7,TNO4488
2021-05-02 01:00:00,1.16,3.28,2.11,4.83,TNO4488
2021-05-02 02:00:00,1.03,2.67,1.88,3.65,TNO4488
2021-05-02 03:00:00,1.06,2.82,1.94,4.3,TNO4488
2021-05-02 04:00:00,1.05,2.75,1.91,3.95,TNO4488
2021-05-02 05:00:00,1.24,4.38,2.44,7.1,TNO4488
2021-05-02 06:00:00,1.19,3.7,2.22,5.45,TNO4488
2021-05-02 07:00:00,1.26,4.98,2.6,8.35,TNO4488
2021-05-02 08:00:00,1.36,4.7,2.67,7.25,TNO4488
2021-05-02 09:00:00,1.31,4.7,2.66,7.45,TNO4488
2021-05-02 10:00:00,1.42,4.88,2.77,8.13,TNO4488
2021-05-02 11:00:00,1.46,5.48,2.97,8.3,TNO4488
2021-05-02 12:00:00,1.55,5.6,3.18,8.6,TNO4488
2021-05-02 13:00:00,1.23,4.9,2.57,8.1,TNO4488
2021-05-02 14:00:00,1.37,5.55,2.85,9.65,TNO4488
2021-05-02 15:00:00,1.12,4.6,2.27,8.05,TNO4488
2021-05-02 16:00:00,1.39,5.45,2.85,9.18,TNO4488
2021-05-02 17:00:00,1.44,5.5,2.97,8.85,TNO4488
2021-05-02 18:00:00,1.48,6.02,3.01,9.75,TNO4488
2021-05-02 19:00:00,1.44,5.0,2.86,7.45,TNO4488
2021-05-02 20:00:00,1.37,4.7,2.73,7.4,TNO4488
2021-05-02 21:00:00,1.54,6.38,3.22,10.65,TNO4488
2021-05-02 22:00:00,1.76,7.03,3.0,10.8,TNO4488
2021-05-02 23:00:00,1.16,4.12,2.22,7.17,TNO4488
2021-05-03 00:00:00,1.0,3.57,1.96,5.85,TNO4488
2021-05-03 01:00:00,0.8,2.68,1.51,4.27,TNO4488
2021-05-03 02:00:00,0.83,2.45,1.49,3.8,TNO4488
2021-05-03 03:00:00,0.85,2.4,1.48,3.67,TNO4488
2021-05-03 04:00:00,0.71,2.23,1.33,3.5,TNO4488
2021-05-03 05:00:00,0.64,1.97,1.19,3.0,TNO4488
2021-05-03 06:00:00,0.56,1.45,1.04,2.13,TNO4488
2021-05-03 07:00:00,0.86,2.55,1.73,3.63,TNO4488
2021-05-03 08:00:00,0.72,2.2,1.5,3.23,TNO4488
2021-05-03 09:00:00,0.45,1.2,0.92,1.68,TNO4488
2021-05-03 10:00:00,0.65,2.0,1.24,3.2,TNO4488
2021-05-03 11:00:00,0.39,1.07,0.77,1.5,TNO4488
2021-05-03 12:00:00,0.26,0.83,0.54,1.3,TNO4488
2021-05-03 13:00:00,0.59,2.37,1.24,4.22,TNO4488
2021-05-03 14:00:00,1.92,5.38,3.82,7.8,TNO4488
2021-05-03 15:00:00,5.07,14.95,9.2,21.38,TNO4488
2021-05-03 16:00:00,4.63,12.1,8.51,17.38,TNO4488
2021-05-03 17:00:00,4.62,10.77,8.23,14.4,TNO4488
2021-05-03 18:00:00,4.11,9.55,7.43,12.83,TNO4488
2021-05-03 19:00:00,2.84,6.3,5.36,8.35,TNO4488
2021-05-03 20:00:00,2.34,6.48,5.24,9.53,TNO4488
2021-05-03 21:00:00,1.08,2.27,1.82,3.02,TNO4488
2021-05-03 22:00:00,1.26,2.23,1.91,2.85,TNO4488
2021-05-03 23:00:00,1.11,2.35,1.9,3.18,TNO4488
2021-05-04 00:00:00,0.7,1.55,1.21,2.15,TNO4488
2021-05-04 01:00:00,0.81,1.93,1.36,3.1,TNO4488
2021-05-04 02:00:00,1.16,2.43,1.95,3.13,TNO4488
2021-05-04 03:00:00,1.54,3.18,2.65,3.92,TNO4488
2021-05-04 04:00:00,1.75,3.72,3.16,4.6,TNO4488
2021-05-04 05:00:00,2.72,6.13,5.08,7.65,TNO4488
2021-05-04 06:00:00,3.22,8.27,6.56,10.85,TNO4488
2021-05-04 07:00:00,3.19,8.23,6.25,11.08,TNO4488
2021-05-04 08:00:00,2.68,9.22,5.13,11.95,TNO4488
2021-05-04 09:00:00,2.77,9.67,5.25,13.15,TNO4488
2021-05-04 10:00:00,1.83,5.57,3.63,8.32,TNO4488
2021-05-04 11:00:00,1.37,4.63,2.81,7.23,TNO4488
2021-05-04 12:00:00,0.99,4.1,2.16,7.7,TNO4488
2021-05-04 13:00:00,0.95,3.77,2.06,6.2,TNO4488
2021-05-04 14:00:00,0.77,3.1,1.66,5.45,TNO4488
2021-05-04 15:00:00,1.32,5.6,2.96,8.27,TNO4488
2021-05-04 16:00:00,1.89,6.52,3.89,9.93,TNO4488
2021-05-04 17:00:00,2.79,11.97,6.18,19.55,TNO4488
2021-05-04 18:00:00,3.28,9.6,6.27,13.97,TNO4488
2021-05-04 19:00:00,1.38,4.4,2.72,6.77,TNO4488
2021-05-04 20:00:00,0.99,3.67,2.0,6.7,TNO4488
2021-05-04 21:00:00,1.23,3.98,2.4,6.25,TNO4488
2021-05-04 22:00:00,1.73,3.97,3.05,5.5,TNO4488
2021-05-04 23:00:00,2.01,4.6,3.54,6.33,TNO4488
2021-05-05 00:00:00,1.63,4.17,3.18,5.53,TNO4488
2021-05-05 01:00:00,1.26,3.1,2.43,4.33,TNO4488
2021-05-05 02:00:00,0.73,1.85,1.45,2.67,TNO4488
2021-05-05 03:00:00,0.95,2.52,2.07,3.6,TNO4488
2021-05-05 04:00:00,1.0,2.8,2.19,3.75,TNO4488
2021-05-05 05:00:00,0.83,2.77,1.91,3.98,TNO4488
2021-05-05 06:00:00,0.87,3.93,2.26,6.38,TNO4488
2021-05-05 07:00:00,1.1,5.05,2.76,7.9,TNO4488
2021-05-05 08:00:00,1.21,6.6,3.01,11.22,TNO4488
2021-05-05 09:00:00,1.68,6.73,3.5,11.15,TNO4488
2021-05-05 10:00:00,1.65,5.65,3.34,8.63,TNO4488
2021-05-05 11:00:00,1.43,6.15,3.12,10.0,TNO4488
2021-05-05 12:00:00,1.11,4.25,2.38,6.77,TNO4488
2021-05-05 13:00:00,1.13,3.55,2.25,5.68,TNO4488
2021-05-05 14:00:00,1.13,4.25,2.42,7.35,TNO4488
2021-05-05 15:00:00,0.8,4.42,1.58,6.05,TNO4488
2021-05-05 16:00:00,1.5,6.7,3.22,11.03,TNO4488
2021-05-05 17:00:00,1.09,3.15,2.1,4.7,TNO4488
2021-05-05 18:00:00,1.3,5.0,2.66,8.43,TNO4488
2021-05-05 19:00:00,0.92,2.7,1.83,4.02,TNO4488
2021-05-05 20:00:00,0.98,2.67,1.96,3.82,TNO4488
2021-05-05 21:00:00,1.26,2.88,2.17,4.22,TNO4488
2021-05-05 22:00:00,1.53,3.42,2.47,4.67,TNO4488
2021-05-05 23:00:00,2.1,4.57,3.26,6.63,TNO4488
2021-05-06 00:00:00,1.91,4.02,3.03,5.33,TNO4488
2021-05-06 01:00:00,1.59,4.22,2.81,6.48,TNO4488
2021-05-06 02:00:00,1.6,3.85,2.84,5.15,TNO4488
2021-05-06 03:00:00,1.95,4.58,3.44,5.92,TNO4488
2021-05-06 04:00:00,2.06,4.98,3.75,6.58,TNO4488
2021-05-06 05:00:00,1.85,5.07,3.52,7.2,TNO4488
2021-05-06 06:00:00,1.83,4.98,3.36,7.03,TNO4488
2021-05-06 07:00:00,2.14,7.35,4.09,11.62,TNO4488
2021-05-06 08:00:00,2.27,8.9,4.8,14.05,TNO4488
2021-05-06 09:00:00,2.47,9.42,5.13,14.3,TNO4488
2021-05-06 10:00:00,2.41,8.62,5.1,12.67,TNO4488
2021-05-06 11:00:00,2.34,8.38,4.9,12.95,TNO4488
2021-05-06 12:00:00,2.11,7.53,4.16,10.92,TNO4488
