datetime,pm1,pm10,pm2_5,tsp,serial_number
2021-04-30 22:00:00,1.85,5.43,3.95,5.73,TNT1088
2021-04-30 23:00:00,2.01,6.43,4.45,7.63,TNT1088
2021-05-01 00:00:00,1.72,7.12,4.25,9.2,TNT1088
2021-05-01 01:00:00,1.06,4.3,2.82,4.78,TNT1088
2021-05-01 02:00:00,0.94,3.55,2.61,3.75,TNT1088
2021-05-01 03:00:00,2.21,5.8,4.51,6.88,TNT1088
2021-05-01 04:00:00,1.29,4.02,3.05,4.38,TNT1088
2021-05-01 05:00:00,0.75,3.43,2.2,3.95,TNT1088
2021-05-01 06:00:00,0.73,3.88,2.32,4.27,TNT1088
2021-05-01 07:00:00,0.8,5.13,2.67,5.95,TNT1088
2021-05-01 08:00:00,0.79,7.05,3.21,9.65,TNT1088
2021-05-01 09:00:00,0.61,3.73,2.46,4.2,TNT1088
2021-05-01 10:00:00,0.52,3.75,2.46,4.1,TNT1088
2021-05-01 11:00:00,0.45,3.77,2.28,4.13,TNT1088
2021-05-01 12:00:00,0.57,4.15,2.54,5.58,TNT1088
2021-05-01 13:00:00,0.53,3.57,2.2,5.38,TNT1088
2021-05-01 14:00:00,0.54,4.65,2.49,6.97,TNT1088
2021-05-01 15:00:00,0.46,3.8,2.3,4.65,TNT1088
2021-05-01 16:00:00,0.5,3.8,2.29,4.13,TNT1088
2021-05-01 17:00:00,0.51,3.75,2.29,4.25,TNT1088
2021-05-01 18:00:00,0.63,4.6,2.74,5.9,TNT1088
2021-05-01 19:00:00,0.73,4.52,2.73,5.08,TNT1088
2021-05-01 20:00:00,0.83,4.77,2.93,5.97,TNT1088
2021-05-01 21:00:00,1.08,5.67,3.44,7.02,TNT1088
2021-05-01 22:00:00,0.69,3.38,2.12,3.88,TNT1088
2021-05-01 23:00:00,0.55,2.63,1.76,2.83,TNT1088
2021-05-02 00:00:00,0.58,2.53,1.63,3.63,TNT1088
2021-05-02 01:00:00,0.5,1.88,1.46,1.95,TNT1088
2021-05-02 02:00:00,0.5,1.8,1.39,1.92,TNT1088
2021-05-02 03:00:00,0.39,1.38,1.13,2.5,TNT1088
2021-05-02 04:00:00,0.41,1.65,1.23,1.72,TNT1088
2021-05-02 05:00:00,0.48,2.22,1.34,2.47,TNT1088
2021-05-02 06:00:00,0.48,2.38,1.49,2.67,TNT1088
2021-05-02 07:00:00,0.43,2.17,1.42,2.4,TNT1088
2021-05-02 08:00:00,0.43,2.25,1.41,2.53,TNT1088
2021-05-02 09:00:00,0.43,2.38,1.59,2.63,TNT1088
2021-05-02 10:00:00,0.48,2.93,1.71,3.45,TNT1088
2021-05-02 11:00:00,0.4,2.1,1.35,3.07,TNT1088
2021-05-02 12:00:00,0.36,1.92,1.16,2.35,TNT1088
2021-05-02 13:00:00,0.28,1.7,0.99,2.7,TNT1088
2021-05-02 14:00:00,0.3,2.35,1.06,3.38,TNT1088
