date,hour,avgtempC,maxtempC,mintempC,sunHour,uvIndex,humidity,winddirDegree,windspeedKmph,cloudcover,precipMM,pressure,latitude,longitude
2021-05-01,0,6,8,3,13.0,3,80,305,9,5,0.0,1017,53.333,-6.249
2021-05-02,0,7,10,4,6.0,3,80,244,9,29,0.0,1020,53.333,-6.249
2021-05-03,0,8,11,6,1.0,3,75,256,11,59,0.0,1017,53.333,-6.249
2021-05-04,0,7,9,3,8.0,2,86,304,35,100,0.0,999,53.333,-6.249
2021-05-05,0,6,9,2,7.0,3,86,278,20,9,0.0,1009,53.333,-6.249
2021-05-06,0,6,9,1,12.0,3,76,295,13,7,0.0,1011,53.333,-6.249
2021-05-07,0,6,10,2,11.0,2,83,284,16,73,0.0,1012,53.333,-6.249
2021-05-08,0,9,15,5,7.0,2,69,147,23,78,0.0,1009,53.333,-6.249
2021-05-09,0,11,13,9,7.0,3,86,180,21,76,0.0,989,53.333,-6.249
2021-05-10,0,10,12,7,3.0,3,82,171,22,73,0.0,988,53.333,-6.249
2021-05-11,0,9,12,6,14.0,3,74,189,21,7,0.0,1001,53.333,-6.249
2021-05-12,0,8,11,6,1.0,2,90,15,10,82,0.0,1004,53.333,-6.249
2021-05-13,0,9,11,6,4.0,2,91,181,11,87,0.0,1009,53.333,-6.249
2021-05-14,0,9,12,7,2.0,3,90,315,5,60,0.0,1011,53.333,-6.249
2021-05-15,0,9,10,6,3.0,2,91,156,13,100,0.0,1002,53.333,-6.249
2021-05-16,0,9,12,8,6.0,2,89,179,11,63,0.0,996,53.333,-6.249
2021-05-17,0,9,13,6,9.0,3,90,304,15,43,0.0,1001,53.333,-6.249
2021-05-18,0,9,13,6,9.0,2,88,269,15,74,0.0,1012,53.333,-6.249
2021-05-19,0,10,13,5,13.0,2,89,278,16,82,0.0,1015,53.333,-6.249
2021-05-20,0,10,12,7,3.0,2,82,246,10,86,0.0,1021,53.333,-6.249
2021-05-21,0,9,11,8,1.0,2,90,205,27,100,0.6,986,53.333,-6.249
2021-05-22,0,9,11,6,10.0,2,84,322,25,100,0.0,1004,53.333,-6.249
2021-05-23,0,9,11,6,4.0,2,82,221,13,82,0.0,1006,53.333,-6.249
2021-05-24,0,9,12,6,7.0,2,86,193,11,85,0.0,996,53.333,-6.249
2021-05-25,0,10,13,8,14.0,2,89,311,26,83,0.0,1011,53.333,-6.249
2021-05-26,0,10,13,6,14.0,3,88,288,16,72,0.0,1016,53.333,-6.249
2021-05-27,0,11,14,8,9.0,3,88,221,8,87,0.0,1018,53.333,-6.249
2021-05-28,0,12,14,10,2.0,3,97,198,8,100,1.0,1021,53.333,-6.249
2021-05-29,0,12,15,10,13.0,3,96,161,13,65,0.0,1022,53.333,-6.249
2021-05-30,0,13,17,9,12.0,4,92,169,8,28,0.0,1029,53.333,-6.249
2021-05-31,0,13,16,9,12.0,4,87,173,9,5,0.0,1025,53.333,-6.249
2021-06-01,0,14,17,11,16.0,4,93,163,13,47,0.0,1017,53.333,-6.249
2021-06-02,0,14,16,12,5.0,3,89,338,3,78,0.0,1014,53.333,-6.249
2021-06-03,0,13,15,10,16.0,3,96,171,11,69,0.0,1012,53.333,-6.249
2021-06-04,0,13,16,9,12.0,4,91,182,18,6,0.0,1021,53.333,-6.249
