date,hour,avgtempC,maxtempC,mintempC,sunHour,uvIndex,humidity,winddirDegree,windspeedKmph,cloudcover,precipMM,pressure,latitude,longitude
2021-08-05,00:00,15,17,13,7.0,3,91,187,15,80,0.0,1007,53.333,-6.249
2021-08-05,01:00,15,17,13,7.0,3,90,183,15,78,0.0,1006,53.333,-6.249
2021-08-05,02:00,15,17,13,7.0,3,89,179,12,76,0.0,1005,53.333,-6.249
2021-08-05,03:00,15,17,13,7.0,3,88,175,13,74,0.0,1004,53.333,-6.249
2021-08-05,04:00,15,17,13,7.0,3,88,169,16,69,0.0,1003,53.333,-6.249
2021-08-05,05:00,15,17,13,7.0,3,89,163,18,64,1.2,1003,53.333,-6.249
2021-08-05,06:00,15,17,13,7.0,3,90,158,20,59,0.8,1002,53.333,-6.249
2021-08-05,07:00,15,17,13,7.0,3,92,153,24,73,1.7,1001,53.333,-6.249
2021-08-05,08:00,15,17,13,7.0,3,93,149,27,86,0.1,1000,53.333,-6.249
2021-08-05,09:00,15,17,13,7.0,3,95,145,31,100,1.2,999,53.333,-6.249
2021-08-05,10:00,15,17,13,7.0,3,95,146,31,100,1.4,998,53.333,-6.249
2021-08-05,11:00,15,17,13,7.0,3,96,148,31,100,0.7,997,53.333,-6.249
2021-08-05,12:00,15,17,13,7.0,3,97,150,31,100,1.9,996,53.333,-6.249
2021-08-05,13:00,15,17,13,7.0,3,93,158,25,92,0.3,995,53.333,-6.249
2021-08-05,14:00,15,17,13,7.0,3,90,167,20,83,0.2,994,53.333,-6.249
2021-08-05,15:00,15,17,13,7.0,3,87,176,15,75,0.2,994,53.333,-6.249
2021-08-05,16:00,15,17,13,7.0,3,89,193,13,67,0.5,993,53.333,-6.249
2021-08-05,17:00,15,17,13,7.0,3,90,211,12,59,1.5,993,53.333,-6.249
2021-08-05,18:00,15,17,13,7.0,3,92,228,10,52,0.7,993,53.333,-6.249
2021-08-05,19:00,15,17,13,7.0,3,92,220,10,66,0.3,993,53.333,-6.249
2021-08-05,20:00,15,17,13,7.0,3,92,213,10,80,0.2,993,53.333,-6.249
2021-08-05,21:00,15,17,13,7.0,3,93,205,10,94,0.5,993,53.333,-6.249
2021-08-05,22:00,15,17,13,7.0,3,92,216,10,96,0.3,993,53.333,-6.249
2021-08-05,23:00,15,17,13,7.0,3,92,227,9,98,0.2,993,53.333,-6.249
2021-08-06,00:00,15,17,14,6.0,4,92,238,8,100,0.0,993,53.333,-6.249
2021-08-06,01:00,15,17,14,6.0,4,92,242,10,98,0.0,993,53.333,-6.249
2021-08-06,02:00,15,17,14,6.0,4,92,247,13,96,0.0,993,53.333,-6.249
2021-08-06,03:00,15,17,14,6.0,4,91,251,15,94,0.0,994,53.333,-6.249
2021-08-06,04:00,15,17,14,6.0,4,90,249,18,96,0.0,994,53.333,-6.249
2021-08-06,05:00,15,17,14,6.0,4,89,246,20,98,0.0,994,53.333,-6.249
2021-08-06,06:00,15,17,14,6.0,4,88,243,23,100,0.1,994,53.333,-6.249
2021-08-06,07:00,15,17,14,6.0,4,89,249,24,99,0.3,994,53.333,-6.249
